Phi,T (K),H,OH,HO2,H2,H2O,H2O2,O,O2,C,CH,CH2,CH2*,CH3,CH4,CO,CO2,HCO,CH2O,CH2OH,CH3O,CH3OH,C2H,C2H2,C2H3,C2H4,C2H5,C2H6,C2O,HCCO,CH2CO,HCCOH,C2H3O,AR,N2,C3H2,C3H3,PC3H4,AC3H4,C4H,C4H2,H2C4O,n-C4H3,i-C4H3,C4H4,n-C4H5,i-C4H5,C4H6,C4H612,C5H2,C5H3,C6H,C6H2,C6H3,l-C6H4,c-C6H4,n-C6H5,i-C6H5,l-C6H6,n-C6H7,i-C6H7,c-C6H7,C6H8,A1,A1-,C6H5O,C6H5OH,C5H6,C5H5,C5H5O,C5H4OH,C5H4O,n-A1C2H2,i-A1C2H2,A1C2H3,A1C2H3*,A1C2H,A1C2H*,A1C2H-,A1C2H)2,A2,A2-1,A2-2,naphthyne,A2C2HA,A2C2HB,A2C2HA*,A2C2HB*,A2C2H2,A2C2H)2,A3,A3-1,A3-4,A3C2H,A3C2H2,A4,A4-,P2,P2-,P2-H
0.3,1142.8446501301235,1.2827190680261048e-12,7.730516390481974e-07,3.3374437885677907e-09,3.958305545511062e-10,0.041151866576066155,2.2017630129539063e-10,2.6724837956375055e-09,0.14403269707251615,5.858126168857374e-44,1.6912648224819123e-45,7.623777697929622e-44,7.056207127183342e-46,5.337507662957552e-41,8.831106736280442e-40,4.603812867151003e-10,0.041152254926441326,6.1538569489099685e-24,9.293014433530927e-26,7.610479499514927e-37,2.7940768214192884e-39,4.288617468467684e-37,2.224448617160529e-61,6.81196548163777e-55,6.3424418104676985e-65,8.401208014359496e-63,1.1832649082613176e-72,1.048757093556356e-72,3.5843357933719664e-45,9.144563904648347e-48,4.556812406793528e-46,5.4662304495678314e-52,1.997503713956499e-56,0.0,0.7736624012857389,6.25973742149943e-82,1.643767336780471e-84,3.281278524922048e-88,2.849503934003994e-87,2.094606565793405e-107,1.1960966847205656e-100,9.072269485145255e-95,1.9394666175108763e-110,2.8625964267309027e-108,7.326390344885399e-108,7.092201682234239e-119,1.2665925252222976e-117,1.0509895378283094e-116,1.9493229261135917e-118,3.778163669556555e-129,2.2700766684035577e-130,1.9549408494291106e-153,2.0917751085048613e-146,8.440975440199783e-155,8.507614557736342e-154,6.08613593756831e-153,1.1992596353557423e-164,1.283893760874389e-163,5.698120140471365e-162,4.512099251749125e-173,2.913642562773345e-172,2.648670828362155e-166,9.682016749661461e-171,4.7884973769757866e-154,4.907076215056964e-156,1.030732311545128e-147,5.740711437492087e-149,4.867947769803296e-137,2.600720942387176e-134,3.924021087621746e-130,7.220430343630414e-130,6.462486161232516e-122,1.6199476531249094e-209,5.423846246123262e-209,3.908163469295169e-207,1.331376405497354e-209,3.6851679323015195e-199,6.170210861483974e-202,8.00463979188245e-202,1.6286515456228127e-245,8.156909416396525e-246,3.4448987482372724e-248,4.732596069209967e-248,8.899093817634556e-245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3653061224489796,1300.2149624801852,1.218845519060318e-10,6.592088736427134e-06,1.8559468641560576e-08,1.2053687544694032e-08,0.04988372406709059,9.94575197037122e-10,6.402667001125666e-08,0.13001120115117207,1.1470874801227952e-37,3.7801142786188286e-39,6.555770818263367e-38,9.680081017180145e-40,1.059375998721302e-35,5.337133800571912e-35,2.1255257437311345e-08,0.049887021245141855,1.0571420140958962e-20,1.2166178960390718e-22,1.8284846390751938e-32,9.58033956442561e-35,4.8063651054627835e-33,6.909677435167734e-53,1.5218390518751948e-47,1.7825281473291864e-56,5.261149297103797e-55,9.135536153501476e-64,3.2247213974762146e-64,5.5832304090282455e-39,1.862737426275436e-41,2.7930014884022806e-40,1.7534341123493975e-45,1.5995957032086264e-49,0.0,0.7702113444363159,4.67355282184156e-71,1.8852223197021177e-73,2.3363236383613746e-77,2.1866179872377398e-76,5.96578155141788e-93,2.5329019365735827e-87,7.450650921686354e-83,4.8073618255330914e-96,4.862689445430138e-94,4.062558097260623e-94,5.254886502153553e-104,6.040261628279883e-103,1.7225602319039456e-102,6.321063284828394e-104,2.921541955016564e-112,1.7970041046395577e-113,5.114555508891571e-133,4.2049675657387e-127,1.1959486685269596e-134,4.156672270185247e-134,1.0256747342369186e-133,7.851791424722536e-144,5.323958421058754e-143,8.487893568828812e-142,8.811196832272215e-152,3.561884810217287e-151,3.389762887157054e-146,4.146487081367393e-150,2.23875961051346e-135,9.706160906989368e-137,5.815386436228708e-130,2.792493294761833e-131,2.1774510916511992e-120,1.2317688309024364e-117,1.731532696704444e-114,3.194814893097242e-114,3.15760832358806e-107,9.399603774860599e-184,2.107189812205369e-183,5.0243176457295785e-182,6.653980066992226e-184,1.4370551644888345e-174,1.0375200287596386e-176,1.3200542116217147e-176,5.463467250790707e-215,4.688467575664607e-216,8.426614632460143e-218,1.1401795186541218e-217,1.5760641593810784e-214,1.0411241891730194e-255,1.593871983433906e-255,4.611261020165683e-258,6.611103606334139e-258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4306122448979592,1450.9493494904657,3.889134621717202e-09,3.318350765556928e-05,6.651094949912628e-08,1.6495785054703468e-07,0.05852711906013685,3.1105489731999283e-09,6.93673305164675e-07,0.11610830638271906,6.73294814078078e-33,2.4923873098715925e-34,2.1367992986344256e-33,4.488092281913471e-35,1.1672672022284259e-31,2.459222035471191e-31,3.929966349592972e-07,0.05854352108577164,3.055482149631102e-18,2.9266171054707536e-20,4.0307014467801795e-29,2.768060363613655e-31,6.0791340247681334e-30,1.986902138494301e-46,6.130164823791313e-42,4.935040212847213e-50,4.796221946957588e-49,5.650188077642551e-57,1.0184638079997794e-57,2.8490813827074134e-34,1.1827540819256172e-36,7.331027971801133e-36,1.6111947802724123e-40,2.9714194695662913e-44,0.0,0.7667865448252931,9.062386645506523e-63,5.141822568185002e-65,4.5348919080524073e-69,4.496811546858466e-68,5.971451777682145e-82,3.6590186530307595e-77,8.996652135331081e-74,4.54184267946589e-85,3.4598940131320755e-83,1.2684776147233086e-83,1.1839244840204957e-92,9.755772419622307e-92,1.2708219176819932e-91,7.74897565253297e-93,2.180349153977349e-99,1.3829064116781165e-100,1.784477672213448e-117,2.1809080230472625e-112,2.7802702387616064e-119,4.4242494467610267e-119,4.857714212990644e-119,6.0468809606975e-128,2.8994933497992024e-127,2.1940908743063585e-126,1.6142745029741735e-135,4.577001181370689e-135,7.933783748692574e-131,2.468283724807137e-134,4.204072549026709e-121,5.286648062502529e-122,2.145359159821982e-116,9.388357794580064e-118,1.1651332639131081e-107,6.752675340593474e-105,1.5679197503290784e-102,2.8855739146017792e-102,5.3023330522142456e-96,4.492873146448646e-164,7.48863327544302e-164,7.895552578061031e-163,2.8446704249907575e-164,8.850857038731382e-156,1.874267939939612e-157,2.3567637476039203e-157,1.1236495930296414e-191,2.6489948131231675e-193,1.385334231520421e-194,1.8541959497831054e-194,1.9858911862129495e-191,1.972325744545823e-228,2.928632451648027e-228,2.5685798798659196e-230,3.621383896734244e-230,7.876390386315773e-237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6615031325675e-235,1.7713333872814672e-236,3.5697978019496386e-246
0.4959183673469388,1595.5516214069528,5.96015722866495e-08,0.00011696627406587127,1.765276586358388e-07,1.319760706848787e-06,0.06706300220316598,7.559017741400028e-09,4.396554482459347e-06,0.10231282247573494,3.777712271558785e-29,1.5555650800224808e-30,7.801325400409003e-30,2.1585277994466095e-31,1.8613027505803398e-28,2.030327789298794e-28,3.9426283372851985e-06,0.06711898809541676,2.678743288985239e-16,2.2663190825943196e-18,1.794978241186848e-26,1.5265877854179175e-28,1.786238261280352e-27,2.497231903607155e-41,1.687541253072933e-37,6.229364935944466e-45,2.591155306109906e-44,1.3878105219645714e-51,1.5094486907009856e-52,1.4778247398294577e-30,7.385349022916643e-33,2.3417052796215473e-32,1.3751078053594215e-36,4.455783788531102e-40,0.0,0.763378318319841,3.289223884334727e-56,2.473908795070917e-58,1.7034779235694144e-62,1.768801726318448e-61,2.9394049424149754e-73,4.0529992506712205e-69,1.3924934131899526e-66,2.2265355227112517e-76,1.3602655450175e-74,2.6706442365550787e-75,1.1905556643407554e-83,7.561640527334698e-83,5.446009733846403e-83,4.912073658084832e-84,3.3726413128398126e-89,2.2199686760853114e-90,3.4439816544735058e-105,9.728829207056069e-101,4.099789476590219e-107,3.614347981420487e-107,2.098674387786436e-107,2.3656018472738395e-115,8.64436617222325e-115,3.7374570053188505e-114,1.2924296772042613e-122,2.775052296750408e-122,1.2705490294495442e-118,8.365924170628252e-122,9.159903800693817e-110,2.5936393815167797e-110,1.2667214459571068e-105,5.243447466201151e-107,1.4951010810871413e-97,8.677088980404519e-95,4.866160943800017e-93,8.902854106918109e-93,4.316276988131401e-87,1.8559412962109364e-148,2.464910350736462e-148,1.3958927038673262e-147,1.0770748118015946e-148,7.273734875809135e-141,3.492334112401536e-142,4.3568271079359134e-142,3.521023108231185e-173,3.1356973402720277e-175,3.699328925844384e-176,4.911220513808855e-176,4.221622938839313e-173,8.944459229649889e-207,1.2992605434773053e-206,2.652096544012831e-208,3.6887598841085127e-208,1.88521494761952e-214,3.0727075972286e-242,1.6271551895755194e-240,1.049544046663889e-241,1.2820172856204688e-241,0.0,0.0,0.0,0.0,1.9612886287930483e-213,2.942815006339214e-214,2.312317378849981e-223
0.5612244897959184,1734.1502209966866,5.427185211129948e-07,0.0003192563627364963,3.7612847540879927e-07,7.224396901730201e-06,0.07545513355669631,1.5266231294456575e-08,1.8965098396890684e-05,0.08861154297057443,4.034193373393643e-26,1.8375370486832203e-27,6.079961032128566e-27,2.0986343045458734e-28,7.604426929532107e-26,5.002057652255631e-26,2.5718442807971365e-05,0.07559674238119102,1.011450268056352e-14,7.891041223130718e-17,2.5841933439569142e-24,2.6147887199842366e-26,1.8756753946607546e-25,3.4553462892980854e-37,7.027595941348171e-34,8.935514627074538e-41,1.9174919038513283e-40,3.5179314780086575e-47,2.6007489294429072e-48,1.5283365959495792e-27,8.989980059695996e-30,1.697191557076753e-29,2.1976169200630872e-33,1.134394359414138e-36,0.0,0.759964482677457,7.252412432774443e-51,6.9382077782091725e-53,3.9877608604259726e-57,4.299149115298521e-56,3.4260566251462317e-66,1.4571274519031158e-62,1.0047728589698262e-60,2.6866234049356127e-69,1.3761255086808667e-67,1.6679546945455245e-68,2.6531367517528162e-76,1.3675574857217205e-75,6.239987172932964e-76,7.673573028107756e-77,6.731586165532671e-81,4.6273798035033265e-82,3.384410053527983e-95,3.021749674385879e-91,3.39055296272142e-97,1.897796412105814e-97,6.59500544512716e-98,4.4428536819328706e-105,1.3054572969304862e-104,3.676500787185048e-104,4.473763732807581e-112,7.682758010672821e-112,1.2095453320887705e-108,1.48102038184339e-111,1.725126714297852e-100,9.1844067518163e-101,8.07556723772558e-97,3.2491874878498617e-98,2.755782295278467e-89,1.5740747411785031e-86,2.7787970960231083e-85,5.043332753886131e-85,8.264543230926438e-80,1.0647164425182468e-135,1.1824711234790685e-135,4.131043538957121e-135,5.758013797919963e-136,1.1272396364963111e-128,1.0223899876691142e-129,1.2675254132036435e-129,4.521562064131773e-158,1.9112533038815947e-160,4.245095622564996e-161,5.600149947551373e-161,3.958752516011109e-158,4.538777224273405e-189,6.476123426099337e-189,2.5524572975863224e-190,3.51206753456127e-190,3.6850884798915417e-196,2.917207948510413e-221,3.0475492482426698e-220,3.7181191361512686e-221,4.427403057636357e-221,9.826231477198455e-250,2.938732638193159e-257,2.896632225929478e-245,9.110259740783098e-246,1.5187657589501876e-195,4.289134870848248e-196,1.0446136504032838e-204
0.6265306122448979,1866.3164665339114,3.350177875585732e-06,0.00071733713491211,6.744335556383981e-07,2.9861954061296526e-05,0.08364643320123537,2.6663746143117514e-08,6.101190757455728e-05,0.07500703589734438,1.2561305620525185e-23,6.31480006636617e-25,1.5109334891767525e-24,6.24651178721276e-26,1.1372647495333117e-23,5.062895190852487e-24,0.0001220988866893454,0.08391490380433442,2.0451666845919123e-13,1.5217195201191228e-15,1.6122758023420053e-22,1.8834589624371788e-24,9.215079443603729e-24,9.352367049353739e-34,7.272437776197038e-31,2.575702696758018e-37,3.2837961585977012e-37,1.6723599141078682e-43,9.198900506865523e-45,4.789717429751583e-25,3.2666772811034815e-27,4.118799346060465e-27,1.018289746056568e-30,7.798349153064377e-34,0.0,0.7564972659384652,2.025035772412423e-46,2.39309120342644e-48,1.2088757649231758e-52,1.3443786475796272e-51,2.517911552878209e-60,4.186567964841698e-57,7.567882370591445e-56,2.1089726662690985e-63,9.36187711672331e-62,7.803319353830518e-63,3.566532019094847e-70,1.5507175668110922e-69,4.970246831932165e-70,7.84798607232236e-71,5.428098857160228e-74,3.9239810121108686e-75,6.758689310857474e-87,2.411904762193861e-83,6.133183893473875e-89,2.4172849774039607e-89,5.519207697432945e-90,1.6297351246209303e-96,4.009711797049647e-96,8.11819667572934e-96,2.8054932258579573e-103,4.0145131769900887e-103,2.647606482444598e-100,5.480630943330367e-103,9.875260041668029e-93,8.626681720555138e-93,1.835089795599198e-89,7.336012158521014e-91,2.2376354423856095e-82,1.239570225991741e-79,8.351012068169458e-79,1.5017017356266105e-78,9.995402359822576e-74,4.81747091451394e-125,4.63538575292909e-125,1.10966918835866e-124,2.4568975835220035e-125,1.7278626623644664e-118,2.580415068456509e-119,3.181077764011235e-119,1.864857075200497e-145,4.453124385628043e-148,1.624762188828269e-148,2.1325182333201778e-148,1.260878429605781e-145,2.8578288864703265e-174,4.0132067576804263e-174,2.6544758271562527e-175,3.621778099590154e-175,7.073946798686324e-181,9.597456996908608e-204,2.7703792491564475e-203,5.572494695662348e-204,6.500461837934277e-204,2.670834135689152e-230,2.4012590740546626e-237,2.449368868095253e-226,1.2467503009754672e-226,1.3973813478774474e-180,6.480074164831742e-181,4.128628547687446e-189
0.6918367346938776,1990.7249929332188,1.5213310280520857e-05,0.0013759174348658967,1.0439030512530105e-06,9.92329885351248e-05,0.09155759965763798,4.117349807447673e-08,0.0001544465507187445,0.061562589774822596,1.4854623618940732e-21,8.24944278211099e-23,1.539342433406917e-22,7.379431856010478e-24,7.797588213801108e-22,2.579745553113743e-22,0.0004526430540088482,0.09190031809156633,2.536518175104411e-12,1.8527635298534963e-14,5.239083362722933e-21,6.898117977607724e-23,2.511757708281932e-22,7.094656111517099e-31,2.556943753000472e-28,2.1364226841115926e-34,1.8141027448214802e-34,2.1752709812143133e-40,9.585570428854647e-42,5.904249194853806e-23,4.6259828784130295e-25,4.2764517805508235e-25,1.7998533223985487e-28,1.9382363993121475e-31,0.0,0.7528809540584596,1.1363953978800501e-42,1.6250089861066863e-44,7.533855683284793e-49,8.597056329790795e-48,2.156458528468053e-55,1.6953646108871418e-52,9.880551156800973e-52,1.9857420501719766e-58,7.842001208591384e-57,4.90804930903616e-58,5.439451109664999e-65,2.0572231086050374e-64,5.038114692355745e-65,9.747327996052378e-66,3.6246452524476165e-68,2.779074584805381e-69,6.539092654169115e-80,1.1254840395050818e-76,5.716145847665767e-82,1.7259535464843514e-82,2.7898509594574475e-83,2.8274830682623794e-89,6.015993706645861e-89,9.486763048137949e-89,7.873160660526678e-96,9.699064495432243e-96,3.1344493004125977e-93,1.0191491856348253e-95,3.80926187522992e-86,4.890366579918939e-86,3.1606133350581954e-83,1.2806267813742287e-84,1.62680158139346e-76,8.617715071130503e-74,2.5636404893055874e-73,4.565159668326145e-73,1.4245866957819716e-68,5.150330432829969e-116,4.413660533222981e-116,7.890007925673048e-116,2.5004691051478085e-116,7.468353288469884e-110,1.6436956982507795e-110,2.015462074357317e-110,9.06407385416242e-135,1.410711845355997e-137,7.572410986532589e-138,9.897819836620811e-138,4.950945488239402e-135,1.02199958290717e-161,1.414285635695595e-161,1.4018564936517413e-162,1.9003281225974103e-162,6.422057694589302e-168,6.643644733076836e-189,6.961648309841418e-189,2.06580965619378e-189,2.3700628744272e-189,8.22439169690665e-214,1.8562217934808307e-220,2.8954918358326766e-210,2.137053795610477e-210,7.090186193053871e-168,4.834291725110685e-168,7.068402465027625e-176
0.7571428571428571,2104.79197458959,5.332916488317146e-05,0.0022970517560175143,1.4087422200206934e-06,0.0002756562259622381,0.09909099958557632,5.675216844495488e-08,0.00031623634199199436,0.04847508036689997,7.795276297378229e-20,4.8025247251108604e-21,7.48070884577953e-21,4.045158690126866e-22,2.8132911906277796e-20,7.508127700010084e-21,0.0013662252299038824,0.09917638215464732,2.091746516155406e-11,1.5418341980493582e-13,9.909028217077824e-20,1.4401223041322434e-21,4.2179472821022854e-21,1.8719068450650816e-28,3.6957745656875443e-26,6.345225660908086e-32,3.966841846988987e-32,9.765324902906282e-38,3.6818590247133596e-39,3.341923081171962e-21,2.9953878780038513e-23,2.20443805949005e-23,1.4317634605054138e-26,2.0791412501791842e-29,0.0,0.7489475736586574,1.6956846025761188e-39,2.893375559974518e-41,1.2812497692028885e-45,1.493338029309602e-44,3.116673485342985e-51,1.3659593506748876e-48,3.0414334057643884e-48,3.252222289681338e-54,1.168208674480184e-52,5.934094789321564e-54,1.3841523393123192e-60,4.6742083024635034e-60,9.423420647294707e-61,2.148142023309322e-61,3.0961574792134083e-63,2.5456638740462604e-64,5.179425070839973e-74,5.0568207560704845e-71,4.6182046228758265e-76,1.1509434665074066e-76,1.4040574727624681e-77,3.975679643896569e-83,7.5187212870192e-83,9.91399968123345e-83,1.7181297748853412e-89,1.8737152237741147e-89,3.391048410298012e-87,1.6311877559021024e-89,1.615239752315322e-80,2.766891362375235e-80,6.542104726562991e-78,2.7417921673179884e-79,1.63713339737448e-71,8.168013178090659e-69,1.2047377710895666e-68,2.124712935349822e-68,3.500801052997403e-64,2.546124340734459e-108,1.988518009052772e-108,2.866377303963214e-108,1.1865689903453582e-108,1.7290013031647659e-102,5.088970470093073e-103,6.208982080101384e-103,1.1487267718658003e-125,1.3242773539297215e-128,9.494357591857538e-129,1.236843823414785e-128,5.2701865220232526e-126,5.2694274724354216e-151,7.196243657597119e-151,9.678149630247054e-152,1.305494466463058e-151,7.218739751496519e-157,2.9131583121414086e-176,1.4064602902770298e-176,5.585770266308152e-177,6.323486878670527e-177,9.74919138857258e-200,4.754744108943716e-206,1.5761450181568146e-196,1.5327169925762477e-196,5.0909108448516193e-157,4.632790269181514e-157,1.3979055854420666e-164
0.8224489795918368,2204.7841427496523,0.00014836505776301724,0.0033669254061266837,1.6568657379694272e-06,0.0006563453724257609,0.10614546933254423,6.992098354038492e-08,0.0005294605518870691,0.03613128377847066,1.984108678877402e-18,1.3669194253255707e-19,1.8990229593697766e-19,1.1296542001119147e-20,5.816521963968962e-19,1.3526174646715476e-19,0.0034391965340967415,0.10512116169656917,1.2020095848115926e-10,9.200220874231293e-13,1.1664531410053276e-18,1.8351821661664654e-20,4.6586287299132074e-20,1.953016463446838e-26,2.4675745138717476e-24,7.713673825699894e-30,3.901965909076713e-30,1.7486500340955417e-35,6.008783446305837e-37,9.499776586620115e-20,9.747410089511116e-22,6.174972761041951e-22,5.659312708507376e-25,1.0717369709016272e-27,0.0,0.7444600653622743,7.970060892835569e-37,1.6095486400465268e-38,7.0846346719793e-43,8.39803275825329e-42,9.487305242821881e-48,2.7002905306712332e-45,2.659072277221794e-45,1.161435489759442e-50,3.871077071174466e-49,1.7186806842289133e-50,7.448032028898672e-57,2.2995679177780514e-56,4.097795791317775e-57,1.0628831018723295e-57,4.40028947006195e-59,3.936299143847774e-60,4.601887836682261e-69,2.960717304625786e-66,4.43589755641922e-71,9.794938548708983e-72,9.558994355015614e-73,6.295924414822112e-78,1.0848216112018982e-77,1.280115304283184e-77,4.0961604218043704e-84,4.055984183345728e-84,4.6394165329746335e-82,3.1377982964014886e-84,1.0207559625191019e-75,2.1302850280548395e-75,2.16021608134723e-73,9.577539067271188e-75,2.9891866990886384e-67,1.3800843678795943e-64,1.1103379404943877e-64,1.9409359087967264e-64,1.8729404007812795e-60,8.806310936875735e-102,6.3967752762370095e-102,8.006500508505489e-102,3.970970286821166e-102,3.185838299622341e-96,1.144434719001156e-96,1.390286181422097e-96,6.183313937774624e-118,5.973033914298722e-121,5.221825453291933e-121,6.7845752246877805e-121,2.4694279922942275e-118,6.962447375511494e-142,9.401747206952264e-142,1.5618518759091677e-142,2.099024763930786e-142,1.8195492866614544e-147,1.592619757424122e-165,4.4274893672276073e-166,2.147351229848556e-166,2.4056724431538085e-166,9.468844111347379e-188,8.749581863365005e-194,8.268501416656803e-185,9.68846150972374e-185,9.28239769313992e-148,1.0292741667139937e-147,5.860905429560868e-155
0.8877551020408163,2286.8442220337465,0.000334581899400155,0.004351006682088686,1.6879867352130727e-06,0.0013685226430860734,0.11263600559138348,7.678100821376074e-08,0.0007274099176539933,0.025060037624895812,2.6202334911039146e-17,2.044155548902307e-18,2.7088077386284328e-18,1.7317906345137693e-19,7.398699095701206e-18,1.616637149864066e-18,0.007357690537204586,0.10899055251340162,4.992744625106566e-10,4.09407070664983e-12,9.024519374847867e-18,1.5086344821193514e-19,3.576494690470302e-19,8.928073612844894e-25,8.381641650758788e-23,4.286415137081011e-28,1.924140622496994e-28,1.4110244676153913e-33,4.7075188046560906e-35,1.4543844739072034e-18,1.719008069962232e-20,1.0126280834460962e-20,1.2045330911118403e-23,2.899755562219362e-26,0.0,0.7391724273197737,1.3556985679221483e-34,3.233852227449945e-36,1.47528712599922e-40,1.7713879802878274e-39,7.27540703166348e-45,1.5565898097923284e-42,7.692803916061577e-43,1.08933191673214e-47,3.4315231242141017e-46,1.4331170386105347e-47,1.0324651639536655e-53,2.979185227537819e-53,5.036293180317043e-54,1.43956910135938e-54,1.2905071892572455e-55,1.279995166160676e-56,5.921677022497904e-65,2.8971530204283193e-62,6.569612196376241e-67,1.3788516747477164e-67,1.1365926605790826e-68,1.4752591500794765e-73,2.369499470235768e-73,2.6776210592935378e-73,1.4176723463923888e-79,1.3049951930216462e-79,1.0555716895203901e-77,9.617532477103795e-80,1.2441210999213722e-71,2.8940589890854645e-71,1.4424759225077002e-69,6.944297550720164e-71,1.2444672497726684e-63,5.205045857287084e-61,2.4679314028978497e-61,4.281864161830115e-61,2.650667420929346e-57,3.016390941901125e-96,2.075684795964119e-96,2.4296658272096234e-96,1.3263664110169706e-96,6.518193388625691e-91,2.613303394120051e-91,3.1638185936558755e-91,2.126442486375129e-111,1.948553115917438e-114,1.9000658602958567e-114,2.463795633882899e-114,7.644816986241209e-112,3.826140405382058e-134,5.12095835353417e-134,9.583790944795226e-135,1.284526272813412e-134,1.694418140781112e-139,1.9131191914509828e-156,3.8010888330520473e-157,2.0585027641442437e-157,2.2881104154208512e-157,1.4238235235554843e-177,2.2181426557503545e-183,7.807939998244438e-175,1.0107567749318886e-174,7.049337903047708e-140,8.713311898355287e-140,8.694606075251035e-147
