     t [s]      T [K]   vol [m3]       u [J/kg]
 4.050e-01   1001.116      2.970   2.870653e+05
 4.100e-01   1001.144      2.970   2.870653e+05
 4.150e-01   1001.172      2.970   2.870653e+05
 4.200e-01   1001.201      2.970   2.870653e+05
 4.250e-01   1001.231      2.970   2.870653e+05
 4.300e-01   1001.261      2.970   2.870653e+05
 4.350e-01   1001.291      2.970   2.870653e+05
 4.400e-01   1001.322      2.970   2.870653e+05
 4.450e-01   1001.354      2.970   2.870653e+05
 4.500e-01   1001.387      2.970   2.870653e+05
 4.550e-01   1001.420      2.970   2.870653e+05
 4.600e-01   1001.453      2.970   2.870653e+05
 4.650e-01   1001.488      2.970   2.870653e+05
 4.700e-01   1001.523      2.970   2.870653e+05
 4.750e-01   1001.558      2.970   2.870653e+05
 4.800e-01   1001.595      2.970   2.870653e+05
 4.850e-01   1001.632      2.970   2.870653e+05
 4.900e-01   1001.670      2.970   2.870653e+05
 4.950e-01   1001.708      2.970   2.870653e+05
 5.000e-01   1001.748      2.970   2.870653e+05
 5.050e-01   1001.788      2.970   2.870653e+05
 5.100e-01   1001.829      2.970   2.870653e+05
 5.150e-01   1001.871      2.970   2.870653e+05
 5.200e-01   1001.913      2.970   2.870653e+05
 5.250e-01   1001.957      2.970   2.870653e+05
 5.300e-01   1002.001      2.970   2.870653e+05
 5.350e-01   1002.047      2.970   2.870653e+05
 5.400e-01   1002.093      2.970   2.870653e+05
 5.450e-01   1002.140      2.970   2.870653e+05
 5.500e-01   1002.188      2.970   2.870653e+05
 5.550e-01   1002.238      2.970   2.870653e+05
 5.600e-01   1002.288      2.970   2.870653e+05
 5.650e-01   1002.339      2.970   2.870653e+05
 5.700e-01   1002.391      2.970   2.870653e+05
 5.750e-01   1002.445      2.970   2.870653e+05
 5.800e-01   1002.500      2.970   2.870653e+05
 5.850e-01   1002.555      2.970   2.870653e+05
 5.900e-01   1002.612      2.970   2.870653e+05
 5.950e-01   1002.671      2.970   2.870653e+05
 6.000e-01   1002.730      2.970   2.870653e+05
 6.050e-01   1002.791      2.970   2.870653e+05
 6.100e-01   1002.853      2.970   2.870653e+05
 6.150e-01   1002.917      2.970   2.870653e+05
 6.200e-01   1002.982      2.970   2.870653e+05
 6.250e-01   1003.048      2.970   2.870653e+05
 6.300e-01   1003.116      2.970   2.870653e+05
 6.350e-01   1003.185      2.970   2.870653e+05
 6.400e-01   1003.256      2.970   2.870653e+05
 6.450e-01   1003.329      2.970   2.870653e+05
 6.500e-01   1003.403      2.970   2.870653e+05
 6.550e-01   1003.480      2.970   2.870653e+05
 6.600e-01   1003.557      2.970   2.870653e+05
 6.650e-01   1003.637      2.970   2.870653e+05
 6.700e-01   1003.719      2.970   2.870653e+05
 6.750e-01   1003.802      2.970   2.870653e+05
 6.800e-01   1003.888      2.970   2.870653e+05
 6.850e-01   1003.976      2.970   2.870653e+05
 6.900e-01   1004.066      2.970   2.870653e+05
 6.950e-01   1004.158      2.970   2.870653e+05
 7.000e-01   1004.252      2.970   2.870653e+05
 7.050e-01   1004.349      2.970   2.870653e+05
 7.100e-01   1004.448      2.970   2.870653e+05
 7.150e-01   1004.550      2.970   2.870653e+05
 7.200e-01   1004.655      2.970   2.870653e+05
 7.250e-01   1004.762      2.970   2.870653e+05
 7.300e-01   1004.872      2.970   2.870653e+05
 7.350e-01   1004.985      2.970   2.870653e+05
 7.400e-01   1005.101      2.970   2.870653e+05
 7.450e-01   1005.220      2.970   2.870653e+05
