z (m),u (m/s),V (1/s),T (K),rho (kg/m3),H2,H,O,O2,OH,H2O,HO2,H2O2,C,CH,CH2,CH2(S),CH3,CH4,CO,CO2,HCO,CH2O,CH2OH,CH3O,CH3OH,C2H,C2H2,C2H3,C2H4,C2H5,C2H6,HCCO,CH2CO,HCCOH,N,NH,NH2,NH3,NNH,NO,NO2,N2O,HNO,CN,HCN,H2CN,HCNN,HCNO,HOCN,HNCO,NCO,N2,AR,C3H7,C3H8,CH2CHO,CH3CHO
0.0,0.38376256099158695,0.0,300.0,1.1078385128399033,1.0711322935967414e-08,4.06346490944601e-14,-2.979273629917687e-15,0.19011406637925626,2.7550375600446214e-13,2.856144144547864e-14,4.631178605007099e-15,-7.750214688073107e-15,-4.509168055111031e-13,4.8688394863511895e-19,-4.0959071713159635e-14,3.2855699782528957e-19,-2.1477338725934563e-14,0.09505703322603289,-3.109056494289594e-15,-4.0062164721015967e-16,2.389901138206898e-19,-3.2510634630430215e-13,2.24061010889138e-19,2.2546532351341263e-19,-1.944402061613329e-14,1.4945214865432965e-13,1.8579703485836717e-15,2.386022680383415e-19,-4.086624072156737e-13,2.3537136294573503e-19,6.93798408192183e-14,3.598649285144799e-19,1.0231251299212449e-15,1.098497812732679e-15,4.319436851170415e-13,-6.50961666596229e-14,-3.3919974315622555e-16,3.7928743828793544e-16,2.9476798613548796e-19,5.3000864072749624e-15,-1.3456704407302279e-14,3.2701442806896e-17,-5.939976503900289e-16,1.7768234019796985e-16,8.54360269332429e-15,-7.372660531376477e-15,3.598548236552395e-19,-6.666705189906896e-18,2.8713933326885447e-19,2.1423853003548465e-17,-5.989740895075848e-19,0.7148288896829603,3.4062495161526117e-19,7.910090360891407e-13,-1.3927295877239704e-14,1.945194770502004e-19,-2.972521530839616e-16
0.002,0.3837625980485828,0.0,300.0000000023295,1.1078384058666835,1.1471490846196619e-07,-1.5278032180176804e-19,-1.5384108351323156e-13,0.19011404635833165,2.5764196968489383e-15,1.0462665148295657e-12,1.5036960646276618e-13,-7.425400180730833e-15,-5.244631310869078e-19,1.9039659557144687e-24,-9.455441053429655e-19,1.9305350415782096e-24,1.5915689004147714e-13,0.0950570235705303,-1.3415586360291945e-13,-1.8299035027263584e-14,4.97090974510334e-19,-3.3256920704496597e-13,2.0541858595873168e-23,-1.1892666536788453e-18,-1.9432271618428264e-14,9.631450403379642e-20,1.862641164272742e-15,2.019318290124088e-23,-4.085927866966478e-13,-1.0381914142093219e-19,6.950649350556836e-14,1.8564147290184584e-22,1.024910051734104e-15,1.1002053143292233e-15,1.3163022549866873e-13,6.252362508190518e-17,-3.2601612014639186e-16,3.815858327907561e-16,2.3813911237235893e-24,2.3972349731265156e-13,-1.3457179476321568e-14,3.52847011048201e-17,-6.006292966738115e-16,8.403816404133006e-22,8.546325147591293e-15,-7.365730965122148e-15,1.2657317449946025e-23,-4.81971840356275e-18,2.133526176745702e-18,2.327525514338123e-17,1.812776473630547e-16,0.7148288153547369,2.3589044735218783e-18,7.909569141244307e-13,-1.3925693133779137e-14,2.4369207139908953e-21,-2.9552342505126136e-16
0.003,0.3837627516036949,0.0,300.0000000892802,1.1078379625892445,5.454071895283094e-07,-2.6983646952174996e-20,-8.336839754885819e-14,0.19011396344692455,2.240302956285449e-17,1.1850771944667838e-11,1.5754403059198354e-13,-2.882156145712711e-15,-1.0576003709007809e-22,-2.550743465545521e-23,-2.076236350076578e-21,-2.123339666727006e-23,1.609684706793519e-13,0.09505698358376405,5.263716874943774e-13,-1.2230689995363438e-14,-1.2528289858576501e-21,-3.31563762199597e-13,-2.926408729822835e-22,-2.309918604153273e-18,-1.931493565611846e-14,-3.557355427949081e-23,1.889215061293011e-15,-2.7065369910617924e-22,-4.083482470017901e-13,-1.0284704151832855e-18,6.963386228913724e-14,-2.4876655944433628e-21,1.0087553252041668e-15,1.0823797514757464e-15,6.180930039056215e-14,3.2357514211340466e-18,-2.645787525578235e-16,3.5755872478051993e-16,-3.191593261524829e-23,3.1047830075538774e-13,-1.3470790437338967e-14,1.5010596783294088e-17,-6.259576945596882e-16,-1.2084559044621607e-22,8.527235565519288e-15,-7.382657644153771e-15,-1.6961097582742213e-22,-2.5244608987444452e-17,-1.8301981685875036e-17,2.9448775817604896e-18,1.340861348918487e-16,0.7148285075490743,-2.275563841883667e-17,7.90907822059725e-13,-1.3941016420961924e-14,-3.442388040720436e-20,-3.1248016011421964e-16
0.004,0.38376365198571266,0.0,300.00000163827184,1.107835363403051,3.0670355967978373e-06,2.857330672508075e-20,-4.709648965302007e-14,0.19011347797567163,-1.8294990868295003e-17,2.028327021697127e-10,3.059532901102672e-13,8.478472575534114e-14,2.2063491443441153e-22,5.385349154833596e-23,4.288680562675407e-21,4.480266316236033e-23,1.8070060290900993e-13,0.09505674941872326,1.3214881842456891e-11,1.397120783744536e-13,2.643375403368353e-21,-3.0422388831843535e-13,6.17823101818426e-22,1.0940313225036173e-18,-1.574758944259884e-14,7.536870850148221e-23,3.0779032342409604e-15,5.714210156644752e-22,-4.016990783146962e-13,1.6148973464135506e-18,7.442742148500857e-14,5.251995720728588e-21,1.0979510917625019e-15,1.1230052554270092e-15,2.894948701504953e-14,1.0125923704016263e-18,1.0455227746581282e-15,4.798230621912165e-16,6.738337089134823e-23,3.4462687617237027e-13,-1.3191328362092284e-14,6.214583323078192e-17,-5.624947004353836e-16,2.551495030051088e-22,8.58628723386971e-15,-7.33238901724894e-15,3.5809412813508927e-22,2.2074228009881424e-17,2.8751660852435466e-17,5.264392943353453e-17,2.4340794417108865e-16,0.7148267053527991,3.62944319983046e-17,7.909032474127631e-13,-1.390473701552061e-14,7.214991216883861e-20,-2.5091342992043736e-16
0.0045000000000000005,0.38376575039311633,0.0,300.00001221472587,1.1078293058462818,8.918609640040366e-06,9.086447732073379e-21,-2.1165608268243595e-14,0.19011235113909297,-9.852891716313134e-18,1.4927967637658352e-09,1.446880816771395e-12,6.971669956097695e-13,5.42566205947517e-23,1.3241184849928537e-23,1.0549102885309005e-21,1.1019922782771725e-23,2.6488523176783654e-13,0.09505620569455302,1.0614543277059067e-10,1.5750537843176966e-12,6.486322234911857e-22,-4.5082042348764065e-14,1.5193130607671515e-22,8.080860044185e-19,1.8561057333181444e-14,1.8533900792254606e-23,1.3306008885488176e-14,1.405328510726641e-22,-3.4128157690224125e-13,7.190239346805952e-19,1.4525947607432612e-13,1.2920908024965824e-21,1.6367723465700325e-15,1.1268814719689087e-15,1.856062623232853e-14,2.497172121542117e-19,6.784682794807104e-15,8.836840803023766e-16,1.6568738042643923e-23,3.59736506874512e-13,-1.1216698899533212e-14,6.810115323228038e-17,-5.421433012852445e-16,6.274524611562879e-23,8.709862417803673e-15,-7.322935659547179e-15,8.80621949887452e-23,2.8434441742858306e-17,3.2592944974950446e-17,8.165488380745158e-17,2.5240929888205854e-16,0.7148225229528621,4.0353303378512163e-17,7.908771009707672e-13,-1.3881979372851392e-14,1.777582057042831e-20,-1.0419263095107384e-17
0.005,0.3837730246150684,0.0,300.00011203283646,1.1078083075439493,2.8974186309832502e-05,-4.303783475426732e-20,9.453131508698512e-14,0.1901084864627103,5.0810751907024166e-17,1.3539888607861288e-08,1.2990161859431898e-11,6.888322665909013e-12,-2.765119484978065e-22,-6.749722622789337e-23,-5.374684822266421e-21,-5.615955095071752e-23,9.775666217828215e-13,0.09505433912505938,1.0446622881700782e-09,2.014200188221983e-11,-3.3191650339018534e-21,3.3453551191953192e-12,-7.742837897865238e-22,5.5573548866638374e-18,4.755532707148631e-13,-9.445778978226844e-23,1.3909315100512397e-13,-7.160844521128226e-22,4.2772627846671436e-13,-5.4237351768212415e-19,1.1727797032443944e-12,-6.582101136273272e-21,9.64840070183172e-15,1.1063957202102829e-15,1.1847951682673745e-14,-1.1767123517211284e-18,4.4737275632097727e-14,4.672365265259398e-15,-8.444712336642413e-23,4.123693678167032e-13,1.2054418285309694e-14,6.73176589378154e-17,-4.157555977197722e-16,-3.197703981619405e-22,1.0261212959714807e-14,-7.343724376086201e-15,-4.488140194324154e-22,3.292528629533128e-17,4.3311074779793794e-18,3.807957411915189e-16,1.8688322103717263e-16,0.7148081855934361,4.642605078119196e-18,7.907826234638026e-13,-1.3564901753920806e-14,-9.067539729776031e-20,3.552829502786644e-15
0.0055,0.38379873148605437,0.0,300.0010539748899,1.1077341064931676,9.771073953911708e-05,2.346942758260057e-20,8.559683806543486e-13,0.19009521594720577,7.16168157034519e-16,1.2604471470220935e-07,1.2942105720841778e-10,6.967185523841784e-11,-4.234838910456654e-23,-1.0355549128843136e-23,-8.211601138730573e-22,-8.526867950332878e-24,1.0121545927548162e-11,0.09504791332649279,1.052251714177663e-08,2.6030865509826943e-10,-4.99549624946889e-22,4.771973922611622e-11,-1.18349657177123e-22,4.324532505496087e-16,6.563892663700994e-12,-1.4470638194133682e-23,1.6873180040378317e-12,-1.0974406586199118e-22,1.0222421403272973e-11,1.4508174337791113e-17,1.3409169148635292e-11,-1.0067050838724243e-21,1.3030281825082598e-13,1.1707391546653125e-15,7.55598001639569e-15,-1.7915192323632293e-19,2.9659862651925496e-13,4.131501846911442e-14,-1.2944623754462136e-23,8.839616147021633e-13,2.875273973791528e-13,4.3002323902745036e-16,1.2363382044340556e-15,-4.8907739352589454e-23,3.1213319312585505e-14,-7.307999691626558e-15,-6.863933853690358e-23,4.645443230605043e-16,1.0035789220073097e-17,4.644634356242007e-15,1.9781932384618855e-16,0.7147590228670277,5.182686612713256e-18,7.904160792539298e-13,-7.656944234015875e-15,-1.3837342184169672e-20,5.787896490508821e-14
0.00575,0.3838377269773768,0.0,300.0045043924421,1.1076215676269752,0.00019464392436155986,2.853407972580835e-19,2.914826262944657e-12,0.19007640993213767,6.604339466788152e-15,5.340918892660034e-07,5.841981982924242e-10,3.163314150746839e-10,7.580120697201073e-22,1.8494017039654084e-22,1.4741148711468782e-20,1.5437699167295007e-22,4.521120114800483e-11,0.09503875070737229,4.759916737744459e-08,1.4552644010986825e-09,9.239995882971877e-21,2.710327325706605e-10,2.1225925496953714e-21,9.899805323879736e-15,3.773941584746108e-11,2.589500051358016e-22,9.024907414363275e-12,1.9630861356649376e-21,5.82253314046913e-11,6.888760735977286e-17,7.660947922520669e-11,1.804322006718298e-20,8.246611720965323e-13,1.5634090499685237e-15,5.9557481216902506e-15,2.9956306061095508e-18,9.539592611130856e-13,1.77431862163601e-13,2.31400363183822e-22,2.7257399004021318e-12,1.5430676712273719e-12,2.275267805825663e-15,7.742330278873117e-15,8.760181120830998e-22,1.381127160276535e-13,-7.133310107008522e-15,1.2297882032866128e-21,2.6473050399180158e-15,6.242122909104168e-17,2.599579999154031e-14,3.0574942505301746e-16,0.7146896108809065,3.110010688279872e-17,7.896175878438863e-13,3.182712440255746e-14,2.508615573613418e-19,3.731518086393777e-13
0.006,0.38393743243822176,0.0,300.0224997996289,1.107333926665608,0.0004092037077524127,2.3813531698106358e-18,1.1010272804905472e-11,0.19003431989360806,1.2016051259053317e-13,2.643162290423964e-06,3.103946971993038e-09,1.690474239041087e-09,-2.872619523399267e-21,-7.0057480287047e-22,-5.462643122907723e-20,-5.310128347817471e-22,2.2866576210332113e-10,0.09501797653421142,2.5332488636335806e-07,9.780006360068203e-09,-2.9985433219128664e-20,1.8435333795949225e-09,-7.999603049863852e-21,2.3170981322497385e-13,2.609508711105825e-10,-9.814722996035696e-22,5.7831887784486635e-11,-7.434130315951133e-21,3.878679641971233e-10,3.1152149607871745e-16,5.413357824500897e-10,-6.806816529161204e-20,6.382943146070113e-12,4.4443574751874925e-15,4.659011931681393e-15,-1.0692861520119912e-17,3.460177508514106e-12,8.965610990266922e-13,-8.766046240068417e-22,1.3001367764633886e-11,9.58977161249287e-12,1.4984652793879924e-14,4.368883645126109e-14,-3.321184154666229e-21,9.004628175834586e-13,-6.16336431956989e-15,-4.659873755316513e-21,1.7671029568418007e-14,1.700500588291705e-16,1.7523068512595264e-13,4.576273894962386e-16,0.7145355854326896,-7.965544722664603e-17,7.861096160161647e-13,3.964842249931884e-13,-8.395127070899215e-19,2.916991927998589e-12
0.006125,0.38405880779193163,0.0,300.0599262797829,1.106983971085148,0.0006141086830951445,2.5591359302817128e-17,2.3982571169234047e-11,0.18999318758176892,1.0320676724435288e-12,6.994352169661968e-06,8.654676098757773e-09,4.7321155266366974e-09,5.541789359783836e-21,1.3521955371058516e-21,1.312547045502287e-19,2.2876704992900515e-21,6.083615329422552e-10,0.09499717235795051,7.070737714393412e-07,3.256698808108253e-08,1.1952532534490323e-19,6.1901935623327195e-09,1.629228907757826e-20,2.0435595373191443e-12,8.881103282994995e-10,1.896295080515277e-21,1.8566684350077321e-10,1.4363701688605364e-20,1.2778989322535068e-09,9.788611079349648e-16,1.8834078573618243e-09,1.3338070194960812e-19,2.3762560511378718e-11,1.3811925662401465e-14,4.495871564315499e-15,1.899166792698323e-17,7.357307221902341e-12,2.4117617044617573e-12,1.6912057738076409e-21,3.5806498703402105e-11,2.992665959108697e-11,5.042902870427207e-14,1.2351655992916224e-13,6.415350325014495e-21,3.0353911016572607e-12,-3.081055002280586e-15,8.997634236739317e-21,5.935484753081106e-14,8.283390788309674e-16,5.860521145782682e-13,1.7081942812740615e-15,0.714387772820209,3.1669398859481046e-17,7.8103451645507e-13,1.7062933126504702e-12,2.4200625063444113e-18,1.0932526736212689e-11
