z (m),u (m/s),V (1/s),T (K),rho (kg/m3),H2,H,O,O2,OH,H2O,HO2,H2O2,C,CH,CH2,CH2(S),CH3,CH4,CO,CO2,HCO,CH2O,CH2OH,CH3O,CH3OH,C2H,C2H2,C2H3,C2H4,C2H5,C2H6,HCCO,CH2CO,HCCOH,N,NH,NH2,NH3,NNH,NO,NO2,N2O,HNO,CN,HCN,H2CN,HCNN,HCNO,HOCN,HNCO,NCO,N2,AR,C3H7,C3H8,CH2CHO,CH3CHO
0.0,0.046314991171400484,0.0,373.0,0.8636512495916697,0.016639778205817492,4.177908780788357e-11,1.5355952988222934e-11,0.14529326634878956,1.5691847678441974e-09,0.050125187043944135,8.624809056848849e-06,2.20520866521359e-05,-9.719900475361334e-16,-9.380834274571525e-16,2.3647882217579066e-15,-8.410002655246716e-16,2.636338667169266e-08,0.08355888857961388,0.013607285155197706,0.007762854160814087,2.7830951262825776e-12,0.0002580453371924149,5.618456466329761e-14,2.7362515798158096e-08,4.189975782574414e-05,-7.084281208193655e-16,0.00013061142588383513,2.7350829306080543e-14,0.0003534483586269664,1.6788152186057e-10,0.00020707718603607805,3.2418874263596446e-13,4.4230534302550596e-05,3.0446590497384407e-08,-8.850212386274641e-16,8.048946406858544e-15,9.507433367857373e-11,4.771215316139703e-07,-8.847674351551166e-16,3.1749424609800835e-08,3.859237453311089e-07,3.6010400773845874e-09,3.102254407403121e-12,-8.846249871872056e-16,6.473458165786699e-07,1.024558107827784e-11,-8.957552372635654e-16,7.195771126090945e-09,8.046660899544426e-11,8.361550894510401e-08,7.006674620367006e-13,0.6819413186070425,-1.9233261589309081e-16,2.759045764260566e-11,2.563101123698777e-06,1.5985696559737813e-11,1.1465461879120178e-06
6.25e-05,0.051609156875039856,0.0,415.04124203769527,0.7750562326128433,0.017510697801006614,4.3319165516233554e-11,1.6405078204648048e-11,0.14158210535962878,1.6745552468847617e-09,0.05408095279063089,9.339349139729167e-06,2.389019642230011e-05,5.779408706394046e-20,1.574704848039638e-20,3.5723766239302404e-15,7.773715481485432e-17,2.8707748929478036e-08,0.08141633187048287,0.014785049014015032,0.008560562884166373,3.0858193755937355e-12,0.0002862316151386269,6.330837978768577e-14,3.036589319686526e-08,4.6519979430476304e-05,6.906049249444726e-20,0.00014442214606790366,3.118020991284093e-14,0.00039135323312473793,1.870958897951041e-10,0.00023084652856599308,3.467443796408799e-13,4.962488803216154e-05,3.4159659632122176e-08,1.1027230709589992e-16,9.402226575366442e-15,1.0133611557637808e-10,5.167907353906666e-07,1.5950142284171606e-19,3.448288904095688e-08,4.21578195443736e-07,3.973406594284543e-09,3.3647247835337127e-12,1.1814148775532193e-19,7.195303384990522e-07,1.1395693710477604e-11,1.331279363806195e-19,7.93769375912781e-09,8.876494340801723e-11,9.22372546497522e-08,7.73957733154529e-13,0.6808759733105135,7.553288417695978e-16,3.14278667362299e-11,2.920067201367355e-06,1.794079891513312e-11,1.2870226969336076e-06
0.000125,0.05684485685376241,0.0,456.51038594610134,0.7036695979492417,0.018353132848451914,1.083184152026777e-10,2.6229479616772366e-11,0.1378599017164901,2.100813128395636e-09,0.058006889519732034,1.0509933109800841e-05,2.5502730707801718e-05,-1.0272337485763705e-19,-2.895851842605854e-20,7.0549380667916725e-15,1.5957454798959771e-16,4.6017309483028635e-08,0.079275749107342,0.015973947469408143,0.0093689754228512,4.5711117902240044e-12,0.00031479366986116784,9.137063048912602e-14,3.793745780441422e-08,5.12039636199007e-05,6.801751827581988e-20,0.00015853667252601462,7.36942517623223e-14,0.00043000763469817574,2.5535241011048707e-10,0.0002552590098567696,5.662388455492307e-13,5.5143406748806285e-05,3.7957848329123465e-08,-2.5157325082972974e-16,1.8363469322658736e-14,1.0786531272652817e-10,5.564407752834082e-07,7.825622707409554e-19,4.0771800199924834e-08,4.5338901648986556e-07,4.3511680071258816e-09,3.656115757422431e-12,-2.067781596772813e-19,7.928649127383467e-07,1.248339572279521e-11,-2.319976591422532e-19,8.690314016866735e-09,9.718173456103321e-11,1.0098337606959024e-07,8.627214963799572e-13,0.6798536408532619,3.6605982097367924e-16,5.656053247548922e-11,3.2930422635522894e-06,4.309199823353362e-11,1.4307773488994445e-06
0.00025,0.06720181115601494,0.0,538.2403773434346,0.595221992374802,0.019969901964171425,7.389592070858937e-10,8.483663221397528e-11,0.13034675539906113,4.4267786631497095e-09,0.06583252680816273,1.3932617790244493e-05,2.8213467958303427e-05,2.4060325583743415e-19,7.402485275071057e-20,3.852717909066075e-14,1.0199274955548396e-15,1.363519199597455e-07,0.074950739444988,0.018397083407857864,0.0110275554314318,1.380999197545394e-11,0.00037331718264145363,2.7753633336177373e-13,6.968301986724217e-08,6.0803438181693086e-05,6.332345208927415e-18,0.0001877969486494734,4.730829504750232e-13,0.0005099354353383923,7.004264680875746e-10,0.00030622299851324657,1.8812265915255816e-12,6.660341588372497e-05,4.584381865981136e-08,3.716353571114333e-16,6.784522833276137e-14,1.2322254260487995e-10,6.361973969128098e-07,1.759444367132283e-17,6.357808493224155e-08,5.066126155888953e-07,5.127342276865723e-09,4.416931595815758e-12,7.0287631415630865e-19,9.437140269964273e-07,1.4333102669969461e-11,5.868052077298529e-19,1.0236566741314925e-08,1.1447591652384672e-10,1.1895207184137539e-07,1.1122768881119022e-12,0.6779202499199869,1.3925735823692905e-15,2.014857758472811e-10,4.089714247964114e-06,2.6826307172235365e-10,1.7294134103124396e-06
0.0003125,0.07234782906593373,0.0,578.7065715444062,0.5528845287909073,0.020751472564720607,2.0367496261722778e-09,1.800451118448468e-10,0.12654166367522968,7.134349534870979e-09,0.06975390653385186,1.6097335302432716e-05,2.9343592123136262e-05,-1.1854393024049826e-19,-2.3291312300762663e-20,1.060783579615799e-13,2.9946987053423232e-15,2.4604970350892253e-07,0.07275013937478554,0.01963581854166785,0.011881724396051882,2.7340698694451772e-11,0.00040332734443993966,5.705812547858376e-13,9.830387287126889e-08,6.57072766965479e-05,3.2756351520426934e-17,0.00020299549855925733,1.269992072791472e-12,0.0005513664447699059,1.3880685296582526e-09,0.00033287972133054966,3.745203455271363e-12,7.25728034929977e-05,4.9949268891597666e-08,-6.857138905202448e-17,1.2962471977258326e-13,1.3456220842671645e-10,6.764776776123498e-07,7.541254827439159e-17,8.148544681230693e-08,5.266428440906349e-07,5.527636006180998e-09,5.071045568486978e-12,2.798178044648839e-19,1.0215295793856333e-06,1.4746932269755085e-11,-2.860246871089034e-19,1.1033982882357681e-08,1.2339301332521829e-10,1.2821805780870194e-07,1.314598492698089e-12,0.6770017268726805,4.318347993026658e-16,3.927318770156351e-10,4.515629797369931e-06,7.289474793012606e-10,1.8850032844822658e-06
0.000375,0.0774800218942556,0.0,618.9736753859354,0.5162620509784863,0.021517955266415218,5.309908251758512e-09,3.8503241018436563e-10,0.12269688282324305,1.1428379233864905e-08,0.07369037604067433,1.8540306727698574e-05,3.032302273550898e-05,-2.9964527808499584e-19,-9.485912973548906e-20,2.8736462208722776e-13,8.422656490876122e-15,4.2776631763302833e-07,0.07051730186114909,0.020895078493965588,0.012754669356890949,5.462272960724107e-11,0.0004338551914847285,1.222251679966275e-12,1.343511802256073e-07,7.066529503477466e-05,1.5114433248660781e-16,0.00021860695297207307,3.2914149151567866e-12,0.0005938710071365746,2.7728020496856755e-09,0.0003603891473955532,7.41086283227786e-12,7.872100928198922e-05,5.4174974306975936e-08,-2.017224500153539e-16,2.4246310838031707e-13,1.495414990942191e-10,7.17106648499325e-07,2.871677771272755e-16,1.0454086145024788e-07,5.414679924497567e-07,5.937108583810303e-09,6.024786691792319e-12,1.3297363921270253e-18,1.101119188559903e-06,1.4648439482490615e-11,-7.987994254026249e-19,1.1849712671310626e-08,1.3251485464916647e-10,1.3769572354730183e-07,1.6027443879104514e-12,0.6761124985809264,-1.8486425788988238e-16,7.068100820569562e-10,4.9615661860824815e-06,1.8508600833839623e-09,2.045242862696612e-06
0.0004375,0.08260388527592692,0.0,659.0880217261969,0.4842386610576666,0.022271232259988144,1.3284651036836397e-08,8.513916829120905e-10,0.1188084366033681,1.832793743817064e-08,0.07764708864989564,2.122313436172687e-05,3.114428908940997e-05,-6.685664752147434e-20,1.3225593325567728e-19,7.820552758918373e-13,2.3137400589035847e-14,7.26508825364885e-07,0.06824900267570963,0.02217605194604125,0.013647481172005094,1.110655823463679e-10,0.0004648538457874868,2.7446704339774713e-12,1.765878671929309e-07,7.563846771350892e-05,6.208118273009726e-16,0.00023464758326445425,8.309097677669742e-12,0.0006374924056181439,5.57542272936935e-09,0.00038878456070417394,1.4861158485497857e-11,8.506209090591986e-05,5.8528591354352044e-08,1.0650089550592885e-17,4.508218512003408e-13,1.6971439857947563e-10,7.581257154379364e-07,9.964345075907568e-16,1.3368222936980898e-07,5.500805981744863e-07,6.356280259029969e-09,7.444619799680702e-12,7.487915444638102e-18,1.1825695949887163e-06,1.3974606861813444e-11,-1.50912641853854e-19,1.2684920386746545e-08,1.4185455858218601e-10,1.473968995070394e-07,2.0263915012520068e-12,0.6752504248577809,1.123401683754008e-16,1.1712951127829675e-09,5.428370036193283e-06,4.472909513024511e-09,2.2104093479510166e-06
0.0005,0.08772381275775987,0.0,699.0867848541276,0.4559764729849703,0.023012871295465448,3.155397218912662e-08,1.923202745239677e-09,0.11487313702978365,2.943385236468245e-08,0.08162803574284266,2.4081602530617368e-05,3.179319957997733e-05,4.868183110065814e-19,1.1827658976506929e-18,2.1263984406101933e-12,6.21671994681084e-14,1.2121069836466803e-06,0.06594289257947694,0.023479694586397887,0.014561068256149787,2.2856705954876664e-10,0.0004962215849525519,6.358725776625806e-12,2.223965667437458e-07,8.056308087332107e-05,2.310175344336897e-15,0.00025113225000067874,2.0314233565663704e-11,0.0006822652528020271,1.11048125025843e-08,0.0004180951892207797,3.053536026625905e-11,9.161488117006807e-05,6.302014064448663e-08,3.586156350128446e-16,8.313705672196244e-13,1.970484835579578e-10,7.995667694761199e-07,3.147156074215032e-15,1.699328949568386e-07,5.5136678016083e-07,6.785588626765402e-09,9.557864822554133e-12,2.623410746198039e-17,1.265954152655571e-06,1.2854251347692398e-11,1.4169627387608914e-18,1.354079226297712e-08,1.514238680444253e-10,1.5733137746236634e-07,2.6593787825035916e-12,0.6744136872105327,5.780014515939774e-16,1.7559008111403071e-09,5.916882010449034e-06,1.0148264667080113e-08,2.380791813057942e-06
0.0005625000000000001,0.09284332832276009,0.0,738.9999221215463,0.4308332706156251,0.023744195755851065,7.012400611785988e-08,4.3173606751444575e-09,0.11088850070166276,4.7118842487980375e-08,0.0856362928765388,2.701275256233319e-05,3.22480170084198e-05,1.0073248495910961e-19,6.137534394618067e-18,5.679693798712855e-12,1.6215088284234873e-13,1.98948924056713e-06,0.06359726955063022,0.024806770735210672,0.015496197218906905,4.694299980309534e-10,0.0005277720809119999,1.4762586408120257e-11,2.680734993868454e-07,8.534709743393636e-05,7.88570955214503e-15,0.0002680757321538489,4.756031782332224e-11,0.0007282159024185776,2.1534996481467016e-08,0.0004483458979145222,6.429217247051807e-11,9.840712690327285e-05,6.766528898720397e-08,4.79699955090291e-16,1.5110875966438908e-12,2.3396862679581515e-10,8.414544251569619e-07,8.985016005605615e-15,2.1425781363232036e-07,5.442714016067364e-07,7.2254101855153696e-09,1.2656038708426485e-11,7.463236247069092e-17,1.3513363366114036e-06,1.1560164716966338e-11,6.446609487898978e-19,1.441879104525157e-08,1.612370773129145e-10,1.6750727027111655e-07,3.6151196834717438e-12,0.6736007304885052,-2.839024190458099e-18,2.3298305123334252e-09,6.4279596944451326e-06,2.1250363269876656e-08,2.5567043633389846e-06
0.000625,0.0979652314703611,0.0,778.8514003420606,0.4083080737844008,0.024466333819212635,1.4436520016878306e-07,9.358878596738413e-09,0.10685271634686612,7.461504565466066e-08,0.08967415682826013,2.9871705488230032e-05,3.2478262480852195e-05,-1.3438000367058288e-18,3.291713290734794e-17,1.4620897915357786e-11,4.065555214327404e-13,3.2090770561265227e-06,0.06121095548630433,0.026157870182123993,0.01645351782240222,9.459266895467123e-10,0.000559193064201132,3.336778945921899e-11,3.100324808013301e-07,8.987041947298217e-05,2.4828182448937045e-14,0.0002854944380719653,1.0565089849239599e-10,0.0007753614912824501,4.01736887938747e-08,0.0004795548227008561,1.3703076914959248e-10,0.00010548029569788186,7.24906942975516e-08,8.950781064964765e-16,2.689143146682733e-12,2.833687094009217e-10,8.838074914032544e-07,2.3092770840326294e-14,2.6734879876225136e-07,5.280420317744438e-07,7.676076866937636e-09,1.708535046032209e-11,2.045018555601462e-16,1.4387724242636443e-06,1.0325650600706997e-11,-1.8976583289599098e-18,1.5321050881594652e-08,1.7131907443898478e-10,1.7793118054904808e-07,5.067767210618528e-12,0.6728102201463134,-7.617378951847548e-16,2.7059336159457434e-09,6.962488460080131e-06,4.0453142670967935e-08,2.7384825778005583e-06
