z (m),u (m/s),V (1/s),T (K),rho (kg/m3),H2,H,O,O2,OH,H2O,HO2,H2O2,C,CH,CH2,CH2(S),CH3,CH4,CO,CO2,HCO,CH2O,CH2OH,CH3O,CH3OH,C2H,C2H2,C2H3,C2H4,C2H5,C2H6,HCCO,CH2CO,HCCOH,N,NH,NH2,NH3,NNH,NO,NO2,N2O,HNO,CN,HCN,H2CN,HCNN,HCNO,HOCN,HNCO,NCO,N2,AR,C3H7,C3H8,CH2CHO,CH3CHO
0.0,0.1965039264710983,-1.1175926658418314e-20,300.0,1.2213496407426665,0.00012156389028648784,2.7580121634003353e-15,-9.859753753385069e-16,3.692187934022588e-10,9.678769582887383e-21,5.680264660021011e-07,8.58223673135799e-14,4.3211030355824987e-13,-2.383044928103892e-16,1.7367843119859226e-16,-4.374488707430158e-18,-7.800951139482492e-20,3.3004178469744857e-13,6.765515301781836e-08,1.512785171612745e-07,2.2458037527977375e-08,3.674803616766843e-16,1.29493846970882e-11,1.1997442685145213e-17,2.822054386291958e-15,2.04648212651008e-12,-3.9903605310287294e-16,2.2323400660241962e-08,1.1144195985167047e-16,1.92772488078732e-08,1.6322725519511916e-11,0.9998759156734318,8.585369812415816e-18,1.6562115823163434e-11,2.530451864152947e-13,3.303644615475508e-16,1.4413348020826761e-16,7.189741865182424e-16,7.269383152075246e-11,5.387243003964693e-31,2.1426353433286154e-10,1.1779846021725611e-11,1.0726814264472968e-13,6.169601508100667e-16,-1.1772624928130823e-19,2.9369716890232114e-11,1.5105650616300577e-16,-8.449078608749696e-18,1.0491285765657178e-12,1.5640525833895645e-15,4.551112650309014e-12,3.3009827865190196e-20,1.6535992023789215e-06,1.504263222109725e-08,3.1210698395822643e-13,2.316591056345038e-11,2.7564288625258735e-14,9.52030877137766e-14
0.001,0.18558983736705434,10.996473220676702,300.0071484613892,1.220837805452848,0.0005399744070417663,1.8620365742574752e-15,-1.3575083760139883e-17,5.318370461306088e-09,9.47754283647946e-20,8.06316676373412e-06,1.2448231971480048e-12,6.2956983290815735e-12,-2.1514295306565049e-16,6.853069542886366e-20,5.898797829457088e-18,-3.834137324578648e-27,4.429128721811249e-12,9.1250407284173e-07,2.176339798223421e-06,4.3524490682185064e-07,7.369711427128978e-15,2.618275672980187e-10,1.5675239801334296e-17,5.6754340515525214e-14,4.207876042281821e-11,-1.0131392135865984e-17,4.0279720385543186e-07,2.0404821702662528e-15,3.6663951271614686e-07,3.29380131751704e-10,0.9994238269470548,1.0629282212117316e-16,3.8174973587105366e-10,5.8326266902272044e-12,3.1323216335878585e-16,1.2780008036653319e-16,6.669706290855145e-15,1.059146635322494e-09,7.716846795330819e-30,3.1081460546964112e-09,2.0749607501863772e-10,2.0916261016184296e-12,1.009519306998856e-14,-1.5181716459147253e-18,6.038268575685567e-10,3.133541867715742e-15,-7.402735713289981e-18,2.0364863775425722e-11,3.035960479501408e-14,8.834094388394142e-11,6.473551341765984e-19,2.3600252019770762e-05,2.2965039117448994e-07,8.041642096765317e-12,5.995984682942508e-10,6.382926357927609e-13,2.2148175062906058e-12
0.002,0.15297246091446487,22.000785110831366,300.1421223755306,1.21818726218541,0.0023159687989313628,1.654138895722207e-14,1.1431475904636533e-17,7.28280753784945e-08,2.4891906762351357e-17,0.00010881655044771757,1.720915855012502e-11,8.736614034903532e-11,-1.045833975805534e-16,5.304950265290676e-24,8.062902651618256e-17,3.1894777991078953e-27,5.659576194094137e-11,1.1706625177335606e-05,2.9765464291901316e-05,8.002727693649954e-06,1.4045670692275646e-13,5.021291402789802e-09,8.659615951446086e-17,1.0856279822413018e-12,8.205434296492787e-10,-5.121709308428107e-20,6.898501488603771e-06,3.5249752401704433e-14,6.616505661195394e-06,6.304371081274688e-09,0.9971884673704584,1.2911246313529583e-15,8.340097179677157e-09,1.2742559521156456e-10,2.162839870139938e-16,6.451539636075732e-17,5.9735921074058e-14,1.4668528171832908e-08,9.34015606233814e-28,4.286094508102349e-08,3.4695074002140958e-09,3.8687349258865215e-11,1.4124005451257346e-13,-3.785538666516892e-18,1.177375455659615e-08,6.164251366656843e-14,-5.6426667634583334e-18,3.7502931512375966e-10,5.590870361931313e-13,1.626841691077069e-09,4.092024721928992e-18,0.0003202425894992192,3.3314868619827626e-06,1.9628500329899986e-10,1.4701990103500746e-08,1.4010384331049679e-11,4.883295404856161e-11
0.0025,0.12897575434959876,27.539951802208677,300.9451713856129,1.2115848576239665,0.004973021955252369,6.943536141540038e-14,3.4166122616345495e-16,3.6887699424384523e-07,6.767615371830746e-16,0.0005443749795467799,9.074581769120275e-11,4.4749923836201124e-10,-3.032495873522918e-17,4.314019780136035e-26,4.55926234659347e-16,1.3498034733029292e-25,2.7347989443603557e-10,5.617454003075115e-05,0.00015061587514116613,5.2097256241142914e-05,9.602832399646423e-13,3.390774027151508e-08,5.475282454197369e-16,7.506391154033345e-12,5.622142414169108e-09,-2.0871910164888154e-22,4.223466401828325e-05,2.1988480605945093e-13,4.2379665907350497e-05,4.250671266386308e-08,0.9925102853496465,6.660363575945202e-15,6.31706212039855e-08,9.65162808853799e-10,1.1722464324851034e-16,6.35353148038791e-17,2.1608821804361012e-13,7.498590079046065e-08,2.038585109190448e-26,2.183731420056209e-07,2.0802498849394558e-08,2.53155077614018e-10,7.236954990500346e-13,-2.8022627930753073e-18,8.066816703671053e-08,4.249711834430345e-13,-3.2815508070136582e-18,2.4447319013017402e-09,3.644563756330202e-12,1.0605017893101896e-08,5.9044224066990185e-18,0.0016100581855055902,1.770794578611183e-05,1.6407459595067157e-09,1.234551880166179e-07,1.0660658447824415e-10,3.7289659333398985e-10
0.003,0.10144855949911148,33.292911754306076,306.4666363716445,1.1819429993769248,0.010489857936680322,2.383566296647589e-13,7.03530971775027e-15,1.9209365587830463e-06,2.0014357695457284e-14,0.0027938264597464303,5.293326010323609e-10,2.3579086273115924e-09,-2.1865246612624867e-18,4.465551562028541e-25,3.4819892470109206e-15,1.1080178718969255e-23,1.3973291703560127e-09,0.00027631457494353543,0.0007836993200245958,0.00035263992959354073,7.003658296435826e-12,2.3830451538899528e-07,4.4830521879382266e-15,5.454144789280459e-11,4.011670205250977e-08,8.918535048465536e-26,0.0002681647737816887,1.4986319944654785e-12,0.0002820009931109429,2.985299739265294e-07,0.9763235472193222,4.206284990175616e-14,5.004168511079814e-07,7.645695043059308e-09,2.6524996300433832e-17,3.054081847871076e-16,7.910280091351762e-13,3.937853844797103e-07,4.538270228486856e-25,1.1444466248195594e-06,1.2915737506484877e-07,1.7227735941506115e-09,3.807493753017629e-12,-4.9119036539224195e-19,5.755770536863542e-07,3.0430816464606914e-12,-7.10319777138258e-19,1.657100926151729e-08,2.4703791052683983e-11,7.188353872513211e-08,5.7718054134633415e-18,0.008326519275899674,9.697875555199263e-05,1.43867679505313e-08,1.08907179216999e-06,8.494422889421224e-10,2.9790118409429644e-09
0.0032500000000000003,0.08809910520094597,36.55369696319773,317.9669108446532,1.13195835335007,0.014834209114823223,5.581299254448539e-13,3.4911568193019554e-14,4.505146568401131e-06,1.4022700040276447e-13,0.0064728306204741536,1.7550230093471777e-09,5.571146578813917e-09,-1.768715925721953e-19,3.2065336789452654e-24,1.7281612195673508e-14,2.053857187016711e-22,3.741778673726423e-09,0.0006247736311257031,0.0018376165163336896,0.0009827262524689851,2.2325819993249508e-11,6.805986979037482e-07,2.1642189381929573e-14,1.651447376717562e-10,1.1579119841564732e-07,1.0377477112785525e-23,0.0007156258729886552,6.10029148232802e-12,0.0007764406587180882,8.546468720321941e-07,0.9540354881936592,1.8484016488834214e-13,1.5555801569347631e-06,2.3767108527475562e-08,6.790842233752559e-18,1.2324744422378129e-15,1.5088282001283545e-12,9.261785129518603e-07,3.8747825245807235e-24,2.6961256455304837e-06,3.387642247460128e-07,4.818336047508606e-09,8.951276987239514e-12,-6.552507552806024e-20,1.6612503705581287e-06,8.718078986176483e-12,-1.4865392855290462e-19,4.6220171035315766e-08,6.890449233393083e-11,2.0049952003411685e-07,1.2746022372260812e-17,0.01946814068285008,0.00023480468184375897,4.774899746516765e-08,3.6633020989214405e-06,2.6693427671375385e-09,9.316332264043869e-09
0.0033750000000000004,0.08244932431096087,38.50699896154655,330.64912648295984,1.0835369650228788,0.017467117750112986,1.0407900983876789e-12,8.85085570538465e-14,6.978020730448387e-06,4.133309324645812e-13,0.009928693100317874,3.760067745992945e-09,8.66704914335314e-09,-2.3744791179167604e-20,1.2868229181092952e-23,4.7208941281456095e-14,1.1991700655405972e-21,6.760502095412098e-09,0.0009464406726914564,0.0028465432033659304,0.0016925777482395118,4.395534600694988e-11,1.1893553084516349e-06,5.819682481454366e-14,2.9970619405735764e-10,2.0375474696945615e-07,9.122913165365361e-23,0.0011992175170744783,1.651240233182496e-11,0.0013265368243448115,1.4993446458580478e-06,0.9340652522718554,4.876188173829866e-13,2.8749624917723687e-06,4.392533136069683e-08,3.0565775660424136e-18,3.5153426625295665e-15,2.0813414570373462e-12,1.4340137246670609e-06,1.7564825389942833e-23,4.188688293434176e-06,5.606588643672375e-07,8.317471990572026e-09,1.385990352788365e-11,-1.1478508252417709e-20,2.9229250285071476e-06,1.519243092146788e-11,-1.5250964664909836e-20,7.964576744377812e-08,1.1873554589813645e-10,3.454987502534813e-07,2.5573039132967302e-17,0.030127399054539514,0.000370611578675641,9.177366582180329e-08,7.14742288251612e-06,4.984427018577181e-09,1.7286850260008717e-08
0.0035,0.07786222265149148,40.86913770286905,351.33685109132597,1.0138669901989084,0.020329880266512834,2.2258125656544586e-12,2.1143463484626506e-13,1.0639077024870451e-05,1.1574990577758687e-12,0.014941637380410355,8.303053606673325e-09,1.3272302993198147e-08,-2.4683644119716397e-21,5.891305843422284e-23,1.256491600648689e-13,7.57107419986842e-21,1.2551682249118951e-08,0.001409929682958871,0.004341508749320252,0.002875382168318444,8.869210927496436e-11,2.047655107250156e-06,1.5317254478140034e-13,5.330719240805157e-10,3.5337877916077656e-07,1.093398695010901e-21,0.001980492664153768,4.771816301961169e-11,0.0022336740103962396,2.5985980607454285e-06,0.9053180546564549,1.2879681535247733e-12,5.250259181546388e-06,8.021621230781731e-08,3.0305574406352785e-18,1.197245947729132e-14,2.8321933264309447e-12,2.1796216960656677e-06,1.1100353108350395e-22,6.4084890324137796e-06,9.126678282617278e-07,1.4161699179718469e-08,2.1091522239247644e-11,-5.988705145520719e-22,5.067834408341996e-06,2.5966683882953928e-11,1.1754369442605549e-19,1.3536027988813823e-07,2.017961611924428e-10,5.871897929240833e-07,5.721683746195706e-17,0.04594329505840459,0.0005757840186536615,1.741315161466824e-07,1.383673757858208e-05,9.212299059419038e-09,3.170053803605713e-08
0.0036249999999999998,0.07412671821294294,43.76439053438682,381.7415217277076,0.926695807230509,0.023322629289928547,5.509597292970863e-12,4.789525885201768e-13,1.563434950583538e-05,2.976184172296959e-12,0.021599588259817754,1.8571197179315903e-08,1.9578648671381885e-08,-2.1288810639318845e-22,3.124356373223116e-22,3.2321995737437527e-13,5.18039302962386e-20,2.357172892642187e-08,0.0020265071202719906,0.0063837127536536965,0.004661516385034094,1.814025322987233e-10,3.351803849464388e-06,3.817301215622972e-13,8.949928196831421e-10,5.824991832337621e-07,1.6079586322302637e-20,0.003128726231910683,1.4618500520221665e-10,0.0035892545687287295,4.3001419677960365e-06,0.8667233977489014,3.4021196714275583e-12,9.081599696428114e-06,1.387527787851332e-07,9.078981668622169e-18,4.611941485491864e-14,3.772496431981207e-12,3.1818261153315013e-06,9.296765083824107e-22,9.453203520452741e-06,1.418209159148627e-06,2.3003137606792058e-08,3.085221969420478e-11,7.221754926121642e-21,8.349545212338078e-06,4.175921570809713e-11,4.983755354906801e-19,2.1949490814495802e-07,3.2722991140873344e-10,9.521783833571969e-07,1.5070549417121902e-16,0.06762186235362418,0.0008603701552950822,3.0928719082118283e-07,2.530469447431607e-05,1.6143550426638923e-08,5.503931312078948e-08
0.00375,0.07061654068473137,47.242012572346205,422.14684368476264,0.8314413769354985,0.02634516780087041,1.5342917723009903e-11,1.0130191873266404e-12,2.1936365829881323e-05,6.913690773919062e-12,0.02972010928620794,4.0786478136424006e-08,2.7548631813826207e-08,-1.9085219507897342e-23,1.811760665876372e-21,7.788496946565524e-13,3.8803266839311163e-19,4.378656854390098e-08,0.0027863107241692204,0.008962998454245419,0.0071098958436259406,3.7395123120723535e-10,5.137195499041966e-06,8.780187535640382e-13,1.4010270885505458e-09,8.98491436625053e-07,2.4091444115040077e-19,0.004666967111260378,4.536031527306852e-10,0.00542801113823517,6.7029545828899096e-06,0.8184779837402814,8.636853575066978e-12,1.4619082395746955e-05,2.2335533335211598e-07,3.7228192235291075e-17,1.7739890357293984e-13,4.9259191797489715e-12,4.418776969710052e-06,9.016523751900559e-21,1.3318453691532702e-05,2.073688325456892e-06,3.513716001103559e-08,4.2950550988395347e-11,6.419811551349466e-20,1.2871663381243324e-05,6.159918919766082e-11,1.9256021763043627e-18,3.3477765413528646e-07,4.991124260314908e-10,1.452322680594972e-06,4.720006649449525e-16,0.09515116950021238,0.0012237885770166631,5.003589531992366e-07,4.284503827510729e-05,2.6302493746485092e-08,8.886662361290983e-08
