z (m),u (m/s),V (1/s),T (K),rho (kg/m3),H2,H,O,O2,OH,H2O,HO2,H2O2,C,CH,CH2,CH2(S),CH3,CH4,CO,CO2,HCO,CH2O,CH2OH,CH3O,CH3OH,C2H,C2H2,C2H3,C2H4,C2H5,C2H6,HCCO,CH2CO,HCCOH,N,NH,NH2,NH3,NNH,NO,NO2,N2O,HNO,CN,HCN,H2CN,HCNN,HCNO,HOCN,HNCO,NCO,N2,AR,C3H7,C3H8,CH2CHO,CH3CHO
0.0,1.0629780784150549,0.0,600.0,0.5584218848048046,1.8008256317905713e-08,1.1347649786293385e-14,-7.65483707584314e-17,0.19379844617254952,-2.0430809856293074e-14,3.394812310458601e-13,2.943046846643889e-16,-8.135401663000838e-16,5.5325529168073354e-14,-1.854754524143252e-30,9.426094759296604e-16,1.4334512905545397e-25,-1.33591636804159e-13,0.07751937838383427,3.969714154012592e-15,3.622897055998873e-17,-7.534721169248469e-21,4.2703065797513416e-14,-3.9006698597706064e-30,-1.0599281091024917e-22,3.0246737814339488e-15,-1.921538691331225e-14,-8.314166848296272e-17,4.125639510992603e-32,-2.901421114647411e-14,-7.392930864464738e-23,1.558416162343127e-14,-1.096801212348897e-31,2.0011720577176206e-18,1.6734659563573162e-19,-1.087432606459972e-13,6.343861197264179e-14,2.032054419169933e-17,-7.575325996814374e-18,2.2672663766428288e-26,-1.4199407068091961e-15,-1.4055620374536288e-16,3.7546328213637465e-20,4.649010756141263e-15,5.805089727388116e-17,-5.249090966031144e-15,8.850389233696546e-15,2.832817007467469e-32,3.726256943846196e-21,-4.214289202949858e-17,4.0114745358243364e-19,1.5213289087182038e-18,0.7286821574350999,7.297183731990002e-40,3.028725976092814e-14,-1.1693168178461875e-15,2.745614813821184e-28,-5.954843671959216e-17
0.002,1.0629782264181438,0.0,600.0000000103839,0.558421807053293,1.683991749484406e-07,1.5145755232125058e-17,-1.5774046690271238e-15,0.19379841744460277,-1.3024052472751335e-17,8.752414937252724e-12,9.230911761536116e-15,-4.1252269719596966e-16,2.2509967274313888e-19,2.347021139733625e-33,3.601210856100205e-20,4.017887881632525e-24,-1.6730323957846335e-13,0.07751936618016601,1.251489145730295e-13,1.4230167903977407e-15,-2.834016758525039e-19,4.361962446186485e-14,-1.5005977146334208e-28,-4.076701672041904e-21,3.0984144078753343e-15,-1.447043582358553e-19,-7.90653763474134e-17,1.5647592163109608e-30,-2.480672156295457e-14,-3.0638663916880062e-21,7.916036292306894e-15,-2.8037723799220218e-30,2.466643710127208e-18,1.6750157241613455e-19,-6.765647166138503e-16,5.117076260621431e-16,2.7100639940346786e-17,-7.192167715172117e-18,7.2877219049472175e-25,-4.5110099598832307e-14,-1.401586596554949e-16,3.768279462450056e-20,3.1014739638461556e-15,9.328562810791083e-22,-4.374561690740608e-16,4.038238941301222e-15,1.4113577615768032e-34,4.4505540450185895e-21,-4.2142872760085795e-17,4.0945471903604265e-19,5.999651004071565e-17,0.7286820479673213,5.6387739662772614e-39,2.6113983092275652e-14,-1.1481911227181814e-15,1.2198687434436169e-26,-5.925258369910758e-17
0.003,1.0629787640656871,0.0,600.0000001208114,0.5584215246072813,7.145747668839407e-07,2.2990935609555484e-18,-1.407714967283234e-16,0.19379831310435877,-6.013075674515891e-18,9.12135454322026e-11,6.252003148546647e-14,4.3846253772688835e-15,1.8867895725571727e-24,1.0551885482762994e-37,2.635319047282129e-24,-1.5066869419756947e-26,-1.3199701210956493e-13,0.07751932184570602,1.3508712958268013e-12,1.5793976374728496e-14,-1.2845465695388992e-23,5.584385874263247e-14,-1.4216811659868724e-29,-3.313151118089669e-21,4.178496920761008e-15,-2.218134638832911e-24,-2.108621358409045e-17,5.874128857095481e-31,-2.202954238577595e-14,-3.3325446315442565e-21,4.850882516722848e-15,-2.3506092392851412e-31,1.0245166865762751e-17,1.7009168849654848e-19,-8.600234439993325e-18,8.453862725992663e-18,7.880921802496235e-17,-3.2672543128210595e-18,1.1062812551892637e-25,-4.399901233464979e-14,-1.3472949953464438e-16,7.400017564356529e-20,1.8859076735170495e-15,3.06002380104046e-26,1.0651603852781242e-15,2.5364626972571094e-15,9.881559018996905e-39,1.5301764856284537e-20,-4.2142652213515655e-17,5.169711601578457e-19,5.997198155417073e-17,0.7286816503826262,1.0183478468246332e-38,2.4183314559270528e-14,-1.1382798838220485e-15,9.50127871584347e-28,-5.426444829771689e-17
0.004,1.0629815488995942,0.0,600.0000018135956,0.5584200616362657,3.541362339326741e-06,1.4348593434464404e-18,-9.553561797402436e-18,0.19379777296252992,-1.6001152218789005e-19,1.1954606645837552e-09,8.814002412000906e-13,8.245989944610096e-14,1.6276961959326843e-29,4.698225805882913e-41,-1.9080291994149053e-25,-1.6240395840033596e-26,3.031495010490346e-13,0.07751909219702897,2.128472267095557e-11,3.0521318613688137e-13,7.900253109145416e-27,2.945275390129328e-13,-4.194993355973483e-31,1.3698090794160662e-20,2.5631212622142227e-14,-3.4594629068174246e-29,1.096989457692956e-15,3.0525252665395046e-31,-3.3790459786142608e-15,-3.441345726137406e-21,2.485051785353427e-14,-5.068225124539491e-32,1.8615425659939608e-16,2.2866784808771774e-19,-1.1213587023627095e-19,1.4405226093731954e-19,6.218534634346495e-16,5.167869288794021e-17,6.904154682882335e-26,-4.232816423986303e-14,-3.398988609719598e-17,8.166269459089927e-19,1.1378528983998891e-15,1.0240913697660524e-30,2.0318268241836365e-15,1.5913310982425557e-15,3.051700468350084e-42,2.3567862449245334e-19,-4.2138496790849186e-17,2.652617715048017e-18,5.994244822006299e-17,0.7286795922594568,1.7193752739254793e-38,2.2393968313963275e-14,-1.1256671044906068e-15,5.766889523925759e-29,5.953458985414619e-17
0.004500000000000001,1.0629873143336648,0.0,600.000011752007,0.5584170328757101,9.381072409694765e-06,1.2726821290415671e-18,-8.388849864909717e-19,0.19379665649558012,3.0838665989976024e-18,6.878539863261674e-09,5.943033628794922e-12,5.68991858584563e-13,2.96772015372517e-34,-4.1855140559995353e-44,-1.955702327096459e-25,-1.6621860275556256e-26,2.7226509017259536e-12,0.07751861678258332,1.453449266695012e-10,2.527141793924739e-12,6.317840651399877e-26,2.0652832752925082e-12,4.1569981181113674e-29,4.63253251512138e-19,1.8809839486535005e-13,-1.1153456691452283e-33,9.322146832798749e-15,1.4061562333395158e-29,1.2388256428458443e-13,-3.0759503933872377e-21,2.216390992673928e-13,-2.6773760055929643e-33,1.6999411436761125e-15,7.327481526608283e-19,-3.034625788313418e-21,5.716765401623191e-21,2.828742596207446e-15,3.4656072666505406e-16,6.123775809115944e-26,-3.626628953130226e-14,6.795929632252738e-16,6.5890316911909546e-18,8.596910457857599e-16,7.23155527211386e-35,2.55568299428888e-15,1.2290916515535175e-15,2.1373547986226043e-47,1.9415833365123535e-18,-4.2106955021354065e-17,1.9095365930198825e-17,5.996820558980038e-17,0.7286753386111768,2.162203356963408e-38,2.1534312504760764e-14,-1.0850793622999165e-15,7.180381884396443e-28,1.04733842825845e-15
0.005,1.0630052127584577,0.0,600.0000928584263,0.5584076304897716,2.7412796836843976e-05,4.844011470372912e-18,8.54421343771525e-18,0.19379320467066696,2.803654102446429e-17,4.777051170848781e-08,4.942363240175141e-11,4.773941960168348e-12,5.4110614202932683e-39,-9.272975282682866e-42,-1.8081942104153275e-25,-1.505716920926641e-26,2.1829632084612196e-11,0.07751714171881657,1.2161611288334645e-09,2.6011930082845404e-11,9.836242054634669e-25,2.0174096178394843e-11,3.301032096175442e-27,2.6024052381212406e-17,1.8827896695389828e-12,6.876065773484246e-35,9.274169239219025e-14,1.2713205681316584e-27,1.4295750938912308e-12,6.908418580840289e-22,2.4476867790801126e-12,5.228641681414804e-30,1.9573661344731738e-14,6.68457790233379e-18,-8.212528008673581e-23,1.6105220152822276e-21,1.552379194208318e-14,2.5543324719064786e-15,2.3307740236989543e-25,1.4199846774430228e-14,7.656859140603623e-15,6.833748117308025e-17,6.646448154841302e-16,1.0137366039325277e-35,4.4966749454196965e-15,9.494938728196366e-16,-4.767342307652702e-43,2.0117012852765756e-17,-4.177261430789441e-17,1.9412615951655272e-16,6.050970200985394e-17,0.7286621916988419,2.6895829798828993e-38,2.0707827289339656e-14,-5.692335415883602e-16,6.579855986784951e-26,1.2809071652806326e-14
0.0055,1.0630612555591994,0.0,600.000754690552,0.5583781921790418,8.308964215464837e-05,9.645548781833516e-17,3.3742520056854425e-16,0.1937825129621412,3.9838962977511796e-16,3.420000974096308e-07,4.229602998283559e-10,4.111561645316247e-11,1.0396495293170013e-43,1.7971226551586643e-39,1.6774128137953107e-24,1.781192351301334e-25,1.7298056747761973e-10,0.07751253420912843,1.0458699153454059e-08,2.742318409825598e-10,4.0067905572569983e-23,2.0536833798625246e-10,2.7839748867535838e-25,1.5323984482850413e-15,1.955978311786587e-11,9.904126474354792e-33,9.387708577604156e-13,1.05442713525296e-25,1.4900000024226622e-11,3.980004554187053e-20,2.7389180359023043e-11,1.4802571387605462e-27,2.30610633440092e-13,7.695850711867041e-17,-2.3187465815372496e-24,4.652785119988496e-21,8.859176066005729e-14,1.9036835457678936e-14,4.6408795234616486e-24,4.5113716085450225e-13,7.587740197539606e-14,7.288618279448092e-16,6.863400662501041e-16,6.761781879617316e-34,2.1780539106677642e-14,7.360863724246044e-16,1.0829876118252946e-40,2.1376279209388498e-16,-3.8215763342142377e-17,2.0584865088428703e-15,6.683370222570671e-17,0.7286215095472613,3.3017657719416075e-38,1.992281148696504e-14,6.671917197952267e-15,5.704968436371155e-24,1.52853346684402e-13
0.00575,1.0631355087527123,0.0,600.0028622937774,0.5583391930452418,0.0001545156681106531,7.076077259470223e-16,5.881521828207833e-15,0.19376870108894084,3.847296987259849e-15,1.1726705807412786e-06,1.6729685615578775e-09,1.634372076697979e-10,4.4107095223566746e-48,4.5075923284590936e-37,5.721469340479558e-23,6.117748826530307e-24,6.404276573216299e-10,0.07750647493885938,4.152938160680329e-08,1.2890724144385e-09,6.285016070375564e-22,9.386758420785169e-10,5.101314960746065e-24,2.4997290986826265e-14,9.091241223643727e-11,4.350373232122082e-31,4.262107072891474e-12,1.8316452061145367e-24,6.87240411436345e-11,2.5688098825545116e-19,1.3519369978874716e-10,1.0514507701586552e-25,1.1913800742094128e-12,3.9688846412795682e-16,-1.3313712069581102e-25,1.9799563124135844e-20,2.557082674482872e-13,6.691801373499471e-14,3.404452165638094e-23,1.9293118401089186e-12,3.3451999861321744e-13,3.461010750024938e-15,1.4178977020313208e-15,2.6860535523095323e-32,8.975917379018299e-14,6.604917301918626e-16,2.749143001193604e-38,1.011641523048498e-15,-2.3566612080532282e-17,9.739628341664257e-15,9.341715158804733e-17,0.7285690890956718,3.639149255317228e-38,1.9608716464536078e-14,4.5978419091282766e-14,1.4329800007051516e-22,7.956544048319263e-13
0.006,1.063297200005013,0.0,600.0125108283237,0.5582542886898814,0.0003004913633824788,6.415545298893796e-15,8.251626938576992e-14,0.1937400876691368,6.057397801282195e-14,4.576324717776936e-06,7.666677101015505e-09,7.531461553262722e-10,3.9041721723992466e-47,2.530547108842899e-34,3.5257189323315924e-21,3.84425714471865e-22,2.7237681794379636e-09,0.07749351073569506,1.9114892130369788e-07,7.159348026031258e-09,1.554847937136806e-20,5.054195616469655e-09,1.4320662731619332e-22,4.530819282286509e-13,4.986943401313902e-10,3.6580731546553235e-29,2.277542608925174e-11,4.529192007622038e-23,3.7342290951401105e-10,2.8606733404006776e-18,7.92275715598945e-10,8.293908882595502e-24,7.343432725590238e-12,2.4454819157137887e-15,3.1982463188276673e-25,1.6413629238615463e-19,8.212432661273356e-13,2.6849823742030547e-13,3.086503690398605e-22,9.09164757661971e-12,1.7280155346713137e-12,1.9439276797463166e-14,5.8398503454762104e-15,2.2177580383437396e-30,4.724815947461668e-13,6.97935766831372e-16,1.525153057285065e-35,5.660773930962468e-15,6.178150893177511e-17,5.4495599920568584e-14,2.4877731382321e-16,0.7284611176881188,4.003295207308974e-38,1.9843370426191627e-14,3.437085790104295e-13,5.6230821971734725e-21,4.943702921059991e-12
0.006125,1.063458273017955,0.0,600.0302749574583,0.558169734643393,0.00043060913857626275,2.687102790856275e-14,4.963269059318515e-13,0.1937139462750072,3.611219178533373e-13,1.0231523828415398e-05,1.91919267209783e-08,1.8927831676293355e-09,1.277090030647615e-44,1.4855094772542817e-32,4.903634872870158e-20,5.3573526266500315e-21,6.467144996034265e-09,0.07748102919889825,4.80026619310342e-07,2.062631617715331e-08,1.2493910169978842e-19,1.4224572665537083e-08,1.2896067086957804e-21,2.980240861252798e-12,1.423514605476912e-09,6.110922920756682e-28,6.376313118324054e-11,3.4620300860902667e-22,1.0583348870422446e-09,1.5091267220005657e-17,2.375392281132089e-09,1.440374746521835e-22,2.2884405650168255e-11,7.620524679608402e-15,7.971710940378276e-24,7.15462951053764e-19,1.6111959449548555e-12,6.1037772231413e-13,1.2928245764589402e-21,2.3002125383448255e-11,4.7162493549997986e-12,5.6477245925274545e-14,1.576133840149597e-14,3.7240113578775117e-29,1.3291180523730935e-12,9.674320701589817e-16,9.006159465399975e-34,1.640030520927522e-14,2.589282371773484e-16,1.5788025463469979e-13,6.083510158839518e-16,0.7283636364383,4.200285530069691e-38,2.1558399513535698e-14,1.2266337190679705e-12,7.975536507907012e-20,1.5499773897259628e-11
