z (m),u (m/s),V (1/s),T (K),rho (kg/m3),H2,H,O,O2,OH,H2O,HO2,H2O2,C,CH,CH2,CH2(S),CH3,CH4,CO,CO2,HCO,CH2O,CH2OH,CH3O,CH3OH,C2H,C2H2,C2H3,C2H4,C2H5,C2H6,HCCO,CH2CO,HCCOH,N,NH,NH2,NH3,NNH,NO,NO2,N2O,HNO,CN,HCN,H2CN,HCNN,HCNO,HOCN,HNCO,NCO,N2,AR,C3H7,C3H8,CH2CHO,CH3CHO
0.0,1.0815257292277751,0.0,600.0,0.5584218762765041,3.43923093980693e-08,7.30987279157183e-15,-5.998129465078804e-17,0.1937984428600342,-7.890668271242004e-15,3.142117800686083e-12,-1.6990028701529196e-15,1.666897486740522e-14,6.727022272474843e-13,-1.5625524947254916e-18,1.584946361199946e-14,-1.0793570552713348e-18,-6.263371236870987e-13,0.07751937723687156,5.668639673717693e-14,9.06785378531946e-16,-9.17328575420533e-19,6.815205826207486e-13,-7.874564495679995e-19,-7.800284199285911e-19,3.429195808659131e-14,-2.862682883804542e-13,-9.108749602318772e-16,-7.985818312917014e-19,1.1554803037271917e-13,-7.235802676435352e-19,2.0191837890171142e-13,-1.1828035481762778e-18,-5.0891348088045474e-15,3.937480188040858e-15,-7.599809759101756e-13,1.0132033693399422e-12,-2.3353584397038126e-16,6.537784293668301e-16,-9.417138722374248e-19,4.3059224948996726e-15,2.2918126448343247e-14,2.2281777033377146e-19,-9.768058731234455e-14,-1.3247544919665861e-15,-3.1679079641442863e-13,3.046560085831665e-13,-1.1828901737921572e-18,3.495395095865048e-18,5.000201123200054e-16,6.638537807790138e-17,-2.8687592930114785e-17,0.7286821455065656,-1.8355446516932789e-19,3.4685921958893503e-14,-4.808919386371193e-15,-6.798521797133044e-19,-1.8915688829089675e-15
0.002,1.0815260230900263,0.0,600.0000001743396,0.558421724545565,3.266190821916713e-07,1.3978224892244333e-16,-1.1461828904909487e-15,0.19379838547535846,1.7038396443124426e-15,8.239164872497814e-11,-6.518973096748133e-14,2.354396644160629e-14,2.740224053952664e-18,6.72234895333818e-23,5.890535903553567e-19,1.1571826199110406e-22,2.147979424826705e-13,0.07751935506539194,1.7788555174537734e-12,3.5928126469609826e-14,-4.5035342836621714e-18,7.085587808053529e-13,3.5693704565277814e-22,2.9252463599297735e-19,3.6452564486289983e-14,-2.3004740071109696e-18,-7.808521002875636e-16,6.570563670179321e-22,1.2507663169336205e-13,1.2825007355365723e-19,2.556990620069781e-13,2.945321656593904e-21,-5.0499725378827406e-15,3.955734916487185e-15,-4.726291861168037e-15,8.362257340634818e-15,-1.6010700954210088e-16,6.864931271628844e-16,4.47937711201291e-23,1.880886857019736e-13,2.2948855871405815e-14,2.050497854807345e-17,-1.818300441229555e-14,-2.373106167166304e-20,-1.5110863694574875e-13,1.3899712827004627e-13,3.878063780709025e-22,2.3744949622769878e-17,5.202500797849032e-16,8.683662556058809e-17,-1.3162035169285933e-15,0.7286819327544588,2.428754619331433e-17,2.6872905246447714e-14,-4.7534038128242045e-15,9.257742701096836e-20,-1.85998770499057e-15
0.003,1.0815271086520466,0.0,600.0000020013025,0.5584211640332968,1.4038576193986492e-06,7.809575454841197e-17,-3.5793448203713573e-16,0.19379817382141762,1.6991623441597433e-17,8.620028084294403e-10,7.643622255574914e-13,1.0369990860705976e-13,-2.467991111343602e-22,-1.19562545234384e-22,-2.7319402188660003e-21,-8.81108975770709e-23,4.0394876764290635e-13,0.077519273233443,2.1200538279496405e-11,4.578108391888366e-13,-4.188602410999524e-21,1.056567346043171e-12,-6.3464526504204945e-22,-2.6020190005849914e-19,6.830376614403171e-14,-3.330130195017593e-22,7.687635767103613e-16,-1.168194612509876e-21,1.53257694345571e-13,-6.783078836257638e-20,3.7347027136976337e-13,-5.236676750012463e-21,-4.711156953963343e-15,3.9393078628253614e-15,-6.107544862491605e-17,1.4029710522999103e-16,8.202430958127324e-17,7.023144832401867e-16,-6.393214830855394e-23,1.8252398698851326e-13,2.30583032833213e-14,3.235027008381618e-18,-8.110347078907319e-15,-7.332108354461368e-22,-9.948273407190152e-14,8.735441098353365e-14,-6.896258255602211e-22,5.6131167548521915e-18,5.018029603781134e-16,7.152630863519844e-17,-1.3574138607102728e-15,0.7286811482007332,1.6047787902736184e-18,2.3410011216822808e-14,-4.737738666291126e-15,-1.6344363286698957e-19,-1.645178250094515e-15
0.004,1.0815328415257253,0.0,600.0000300605733,0.558418203972745,7.0576329446449225e-06,4.9435368349477875e-17,-2.915953186408833e-17,0.1937970613364373,5.172487927166667e-18,1.1470195113022432e-08,1.3763754604390861e-11,1.4293540169087223e-12,-9.181944192098288e-23,-4.066720982297354e-23,-9.399678007836514e-22,-2.957028188025706e-23,5.240277507335383e-12,0.07751884226490041,3.422339407766339e-10,9.096032044608225e-12,-1.3576551801906549e-21,7.938775792174021e-12,-2.1588479900874448e-22,2.186699047678536e-18,7.118011748241509e-13,-1.0036834821421276e-22,3.152338369325264e-14,-3.9743450731914174e-22,6.513784411421474e-13,7.545878329677177e-20,1.4414699537782503e-12,-1.7826920574175988e-21,3.4520929748066615e-15,3.935038793828538e-15,-9.46814605757624e-19,2.204862920155275e-18,3.0359008520031672e-15,1.303236649643042e-15,-2.0644392178769708e-23,1.921574925146913e-13,2.550374047202716e-14,1.818510508510382e-17,-3.23308752861921e-15,-2.4913516040393275e-22,-6.64239337418449e-14,5.488046302271452e-14,-2.3458812021253557e-22,4.519235187291588e-18,4.941177424008371e-16,1.2823705043430207e-16,-1.374450637975185e-15,0.7286770269127509,-8.268360943675686e-18,2.035298312794051e-14,-4.4045221425754435e-15,-5.718285584694969e-20,3.710555149068176e-15
0.0045000000000000005,1.081545043796566,0.0,600.0001952490323,0.55841190366468,1.8891785407224577e-05,4.183684610725322e-17,-1.7267981349052806e-17,0.19379472392705058,4.613633850028372e-17,6.692560126749963e-08,9.54055833940685e-11,9.822942680392579e-12,-6.241240543480657e-22,-2.7638999288709514e-22,-6.4201146800961765e-21,-2.0391455743591286e-22,3.438787158493024e-11,0.07751793208397081,2.3722679991346193e-09,7.649604203240145e-11,-9.161949090595045e-21,5.983528556208805e-11,-1.467130494117622e-21,8.488735921221128e-17,5.664633073024381e-12,-6.821412923294202e-22,2.614933481242827e-13,-2.700464103725496e-21,4.422407801511045e-12,-1.4894412946760306e-19,9.375205613929776e-12,-1.2104199267934904e-20,7.490091935377303e-14,3.944123052441709e-15,-9.040510879603222e-19,-1.2595238251812722e-18,1.526916785439775e-14,4.6310457440543894e-15,-1.5447374646296412e-22,2.8269871759225584e-13,4.316601665908511e-14,1.8243043434588577e-16,-1.6572347753086713e-15,-1.69294111765074e-21,-4.9416270283792826e-14,4.242520565300379e-14,-1.594130793647879e-21,4.214479642759236e-17,4.797335873574264e-16,6.204685044205294e-16,-1.4071000660830596e-15,0.7286683826095455,-2.5674463549690023e-17,1.8906139318092805e-14,-1.0123402991527485e-15,-3.7600254231703275e-19,5.101009199762328e-14
0.005,1.0815847451222176,0.0,600.0015469408236,0.558391405959021,5.586351330282915e-05,1.4142438590239728e-16,3.760276247119645e-16,0.19378735628259477,9.035030263905545e-16,4.7193308721891343e-07,8.075153347355818e-10,8.348461498855058e-11,1.577017936417655e-21,6.984183694384431e-22,1.6253111656884553e-20,5.179823047320916e-22,2.695002977928111e-10,0.0775150279480832,2.016421061778798e-08,8.00128302134959e-10,2.33192861496095e-20,5.989589431094053e-10,3.70847802234992e-21,5.425029598355462e-15,5.8141266930986364e-11,1.7234163984265883e-21,2.6306692258791315e-12,6.823199181596562e-21,4.3948663811803846e-11,1.4414870276269344e-18,9.887490528941669e-11,3.0581945471635675e-20,9.321829555373086e-13,4.273535633327187e-15,2.2214193162961087e-18,3.275982046753883e-18,8.688634685263146e-14,3.015169226479535e-14,4.021939444792526e-22,1.0953721198425725e-12,2.188232694555977e-13,2.1866283101732395e-15,-3.258936361017971e-16,4.277468664693673e-21,8.099028314595722e-15,3.2863858549357936e-14,4.0279549728475266e-21,6.688691647174792e-16,5.43146438927062e-16,6.1678456128744555e-15,-1.2692793312961948e-15,0.7286412573924258,3.781417725877717e-17,1.7601852960489646e-14,4.787524376912825e-14,9.46217518019523e-19,6.234088601177636e-13
0.0055,1.081721625884462,0.0,600.0126055870824,0.5583207462640455,0.00017136438408139917,3.2233468486248375e-15,1.370067468616776e-14,0.1937638314289147,4.271015591034988e-14,3.4296330575699876e-06,7.018706739589621e-09,7.29868452009779e-10,4.74562068016457e-22,2.1069434908220606e-22,6.908156476532094e-21,3.728319114719346e-22,2.1593976587435206e-09,0.07750548086938305,1.7608831826568657e-07,8.568719558884637e-09,2.196586512702089e-20,6.198471869951384e-09,1.2525959424666794e-21,3.5860443235134746e-13,6.140943091432355e-10,5.213248087673484e-22,2.7033501254049876e-11,2.1080295469307112e-21,4.5833720101296996e-10,4.818055103285743e-18,1.1155868287184921e-09,9.231123689653442e-21,1.1214317563148655e-11,7.66539897691888e-15,7.601565712474525e-19,1.1372563688977884e-18,5.04797015883449e-13,2.2303867974174813e-13,2.7443186072214417e-22,8.272624599303563e-12,1.9626058136745143e-12,2.3402522079086622e-14,3.4626405224960507e-15,1.2937537759676773e-21,5.146770022522527e-13,2.5535936301871453e-14,1.214698417886957e-21,6.890685498283306e-15,6.675811446282207e-16,6.56433435688058e-14,-1.043843592362745e-15,0.7285556906744728,4.781666130663306e-17,1.7085978224879008e-14,7.50116212846695e-13,3.0572488136227763e-19,7.546562796620675e-12
0.006,1.082253785584358,0.0,600.1030269704632,0.5580462079050802,0.000532135953589461,1.1577485822794275e-13,6.236950321372566e-13,0.19368635923101551,2.6934934662946697e-12,2.5024145258682503e-05,6.117021004297813e-08,6.398911177750031e-09,6.187312303761256e-21,2.741249034246344e-21,1.0343993622546848e-18,1.08522500113713e-19,1.7349845553912157e-08,0.07747193669068368,1.5422407026900696e-06,9.194721488984584e-08,2.145739784559861e-18,6.428634489960184e-08,3.78884419403167e-20,2.1682030427722524e-11,6.501991418663052e-09,6.773858062138386e-21,2.7832580969091606e-10,3.252303734896242e-20,4.80172957641711e-09,1.2805341591693988e-16,1.26637260870159e-08,1.223213089306066e-19,1.3450987762125825e-10,4.828923737366237e-14,7.819424125820394e-18,1.299636190495072e-17,2.9549035769234836e-12,1.6743103663029477e-12,7.125037760863262e-21,7.160790800509079e-11,1.926096613918715e-11,2.5379778584573604e-13,4.042142632755151e-14,1.6777730929478422e-20,5.727025709407655e-12,2.1203980836791125e-14,1.5819437244870213e-20,7.414038742445146e-14,1.945278225958442e-15,7.090591276483949e-13,1.2327673430066962e-15,0.7282827359763083,7.190531102400203e-17,3.229353219631272e-14,1.0844073987478808e-11,4.291333492664325e-18,9.126571575828475e-11
0.00625,1.0832623346769161,0.0,600.3912687506396,0.5575266420982788,0.0009996989415985238,1.591617165120143e-12,1.1280613422624019e-11,0.19357409630698688,4.051792657764703e-11,8.682627213849933e-05,2.448684689441667e-07,2.569947447224064e-08,-5.897742026943277e-20,-2.61109835181988e-20,5.3987480769399005e-17,5.977338765036282e-18,6.526206884076009e-08,0.07741748297569667,6.200270791980259e-06,4.378386738120555e-07,8.426935959215395e-17,2.9619002655624203e-07,9.955212229829107e-19,3.338791796132926e-10,3.059714769920597e-08,-6.453070788391761e-20,1.279813790426188e-09,-3.377335284338654e-20,2.2410843139716315e-08,2.2733911679319844e-15,6.311319314700025e-08,-9.618353625544094e-19,7.041524768805856e-10,2.353383819098934e-13,-7.717829288247497e-17,-8.509868444487387e-17,8.705923558202094e-12,5.87711729227558e-12,6.203076278028077e-20,2.893557304105824e-10,8.537763944405428e-11,1.2201185379947152e-12,2.0284927925349456e-13,-1.5996263935856536e-19,2.6739152594310314e-11,2.5590128261378333e-14,-1.5084690638380246e-19,3.5462377787407374e-13,6.607792905465162e-15,3.398284899620847e-12,9.294220791583363e-15,0.7279145059122719,-5.3757124653476e-16,1.360169430989355e-13,6.649593045066773e-11,8.501506489241077e-18,4.812415096557187e-10
0.0063750000000000005,1.0846728947388218,0.0,600.9220229890532,0.5568015954134092,0.0014194201934780717,1.1061257844969274e-11,6.899346733981433e-11,0.19345481312293425,2.4003980927138583e-10,0.00019066172234962443,6.019537187362471e-07,6.324245904445596e-08,-5.2592916676676904e-20,-2.317292116476025e-20,7.584380275239378e-16,8.316891684994042e-17,1.5318635405956774e-07,0.07735169626935888,1.5302142558780878e-05,1.2414187165449518e-06,1.1993021477637286e-15,8.140447321342794e-07,1.6979330015854857e-17,2.067317406281765e-09,8.583405872996383e-08,-5.85690255969666e-20,3.524880985290924e-09,2.863474336607712e-18,6.249132804567502e-08,2.566495363496251e-14,1.8559531251512053e-07,2.265954157400415e-18,2.1618080399058197e-09,7.156359826231497e-13,-3.289700300471843e-17,1.7225267491487698e-16,1.691163679211654e-11,1.3020170228203255e-11,5.229099929760317e-19,7.188326135658891e-10,2.2728665919198975e-10,3.4902493647071893e-12,5.701009082784856e-13,-1.4281925452508458e-19,7.436364809849808e-11,4.4168883709804385e-14,-1.3524889066891197e-19,1.0124356181010915e-12,1.9164571225660473e-14,9.690800909527983e-12,3.207315868629507e-14,0.7275648879217456,-7.852671311679859e-17,4.648047289659937e-13,2.3375439281746455e-10,7.598187357144007e-16,1.4865567094819479e-09
