z (m),u (m/s),V (1/s),T (K),rho (kg/m3),H2,H,O,O2,OH,H2O,HO2,H2O2,C,CH,CH2,CH2(S),CH3,CH4,CO,CO2,HCO,CH2O,CH2OH,CH3O,CH3OH,C2H,C2H2,C2H3,C2H4,C2H5,C2H6,HCCO,CH2CO,HCCOH,N,NH,NH2,NH3,NNH,NO,NO2,N2O,HNO,CN,HCN,H2CN,HCNN,HCNO,HOCN,HNCO,NCO,N2,AR,C3H7,C3H8,CH2CHO,CH3CHO
0.0,0.19910754969967356,1.442745402024469e-22,300.0,1.2053787029271714,0.00012127543592794396,1.1423261581053503e-14,-7.288604281524368e-15,3.8392238874029254e-10,-1.1740107021337303e-20,5.664078694818345e-07,9.674664581215065e-14,4.531582472036655e-13,-4.3566882620247794e-16,1.0709775259803046e-15,3.1557169660545767e-18,1.0947907764486882e-21,3.379335881025257e-13,6.735310761662499e-08,1.5112856568814234e-07,2.2410089404156972e-08,3.715972930959622e-16,1.3338208463170188e-11,6.308418552252024e-18,2.9118845659973062e-15,2.0938538367672866e-12,-4.362505225682357e-15,2.2177972709483994e-08,1.1784384897883855e-16,1.9174684269367492e-08,1.6612987478782298e-11,0.9998762101717459,9.434275231479092e-18,1.6749467373340298e-11,2.534379317590965e-13,1.782676619133717e-15,7.828190616517205e-17,7.844599129182709e-16,7.133271165065746e-11,9.956989778058122e-31,2.1103000933649347e-10,1.2053938730787214e-11,1.0495955392594491e-13,5.306393868598501e-16,-1.895998482883962e-19,2.9289112053554524e-11,1.5198903446971513e-16,-4.467832476233801e-17,1.0493308998321743e-12,1.570247510249186e-15,4.526682341795362e-12,1.9687045841816398e-19,1.6499450413743105e-06,1.5007971156991384e-08,3.108070411484672e-13,2.3334693793145268e-11,2.7886766404413894e-14,9.679622370395707e-14
0.001,0.18805000687126697,11.140830057322413,300.00714673543445,1.204874700566877,0.000538693328626443,3.4893083614658465e-15,-1.0288798207415404e-16,5.530168843397639e-09,-1.150088750511324e-19,8.040193792276918e-06,1.403276542483241e-12,6.5619042553886295e-12,-3.9386282335908726e-16,4.369517862956018e-19,3.552365697670794e-17,1.0342366183288825e-28,4.535303949245778e-12,9.084305100809145e-07,2.1741833546574376e-06,4.343158288183098e-07,7.45226077478141e-15,2.696795716119352e-10,1.0168443215960606e-17,6.380204393683986e-14,4.305285124899506e-11,-1.137857823185531e-16,4.0017329473127404e-07,2.1159270832026765e-15,3.646889497427143e-07,3.352375262154324e-10,0.9994251952332264,1.1982703173216656e-16,3.86067380074928e-10,5.841601941439064e-12,1.7150184797301351e-15,7.024759473998982e-17,7.0111447595001325e-15,1.0393157381390915e-09,1.422731918977976e-29,3.0612224220758465e-09,2.1232414314355801e-10,2.046053430110278e-12,1.0137958422533793e-14,-2.69363356224918e-18,6.021688883966028e-10,3.153609624576901e-15,-3.846261144862954e-17,2.036902908729023e-11,3.0479804046572124e-14,8.786676598518093e-11,3.803696054396744e-18,2.3548108232159717e-05,2.2912132220942184e-07,8.008162619191748e-12,6.039664010084872e-10,6.4582152833857e-13,2.2517444429886293e-12
0.002,0.15500375923008955,22.28959166826594,300.1420908578115,1.2022638771345542,0.002310487960386196,1.885044613772332e-14,1.2366132481332643e-17,7.572897447776181e-08,2.7636559540616202e-17,0.00010850738216621395,1.9398160632546795e-11,9.102264957101053e-11,-1.9314766174679669e-16,3.4955045714433624e-23,1.0972062326310914e-16,4.090288528564832e-27,5.795658700259236e-11,1.1654455107209072e-05,2.9736205209288403e-05,7.98571107395478e-06,1.4209171462337314e-13,5.1719094807275e-09,8.40351638370373e-17,1.2250711170165091e-12,8.395447342181332e-10,-5.912332733162677e-19,6.853618931066787e-06,3.63197565766294e-14,6.581359173199428e-06,6.41666848469031e-09,0.9971951460630933,1.4314505001616e-15,8.434495488547387e-09,1.2762268020709828e-10,1.2921415711408e-15,4.137865457321164e-17,6.253726582886423e-14,1.439399696260839e-08,1.0481462123901317e-27,4.221419488983092e-08,3.550262262473205e-09,3.784422824240269e-11,1.4305908364185186e-13,-6.842817436157944e-18,1.174152346805793e-08,6.202792398749689e-14,-2.9175102664803046e-17,3.751093415173744e-10,5.613051511497096e-13,1.6181229187786992e-09,2.7556852720744717e-17,0.00031953751699567793,3.323838456024171e-06,1.9546947895157022e-10,1.4809214463691714e-08,1.417559094774396e-11,4.964743810346696e-11
0.0025,0.1306911718668602,27.90143850520128,300.9450154759827,1.1957561793085758,0.004961329709523394,7.749372273895677e-14,3.693043529017717e-16,3.835807814090741e-07,7.505590330243262e-16,0.0005428434041973699,1.0218789576562879e-10,4.662288676941943e-10,-5.674935920186406e-17,5.578427735621364e-26,5.073704348746247e-16,1.6036145069977355e-25,2.800649017289229e-10,5.5925706639506e-05,0.0001504719739623634,5.198804391519561e-05,9.712979451458393e-13,3.492588673708551e-08,5.617754502047064e-16,8.463020917236461e-12,5.752487675764191e-09,-2.476735322785617e-21,4.1961114079907224e-05,2.2563629047991075e-13,4.2155807388728776e-05,4.3264813592771207e-08,0.99252803608655,7.349022498248283e-15,6.388762814534538e-08,9.66685853606539e-10,7.710771822199903e-16,5.998291353900115e-17,2.2611780417939984e-13,7.358454041529309e-08,2.24052319492565e-26,2.150843045946426e-07,2.12870582101598e-08,2.476453555390298e-10,7.333807284395321e-13,-5.131874374562515e-18,8.044979421222222e-08,4.275687382445305e-13,-1.6824586070888584e-17,2.4453272744721014e-09,3.659133384838916e-12,1.054850010877569e-08,4.287924867250804e-17,0.001606556992498447,1.766779207066512e-05,1.6339810292531467e-09,1.243594709652932e-07,1.0786519012844072e-10,3.791280994442546e-10
0.003,0.10280132085931828,33.72977040217879,306.46631694113955,1.1665207929984116,0.010465509859765925,2.644233146991462e-13,7.468411482853591e-15,1.997616847020521e-06,2.2138605005102667e-14,0.002786121521065201,5.945058444956013e-10,2.4567177069487682e-09,-4.165771388962415e-18,5.35203303041277e-25,3.7397474919937195e-15,1.2672210499268159e-23,1.430715113893219e-09,0.00027510530249305934,0.0007829934220003764,0.0003519217338457443,7.081382439851972e-12,2.4547479279633925e-07,4.639481549235656e-15,6.139851207330534e-11,4.104904448661997e-08,-3.324350214501872e-24,0.00026644347107029724,1.528002093143264e-12,0.0002805280858777772,3.038653769150603e-07,0.9763792301321884,4.601676995931622e-14,5.061283852120667e-07,7.658238270246703e-09,1.9079980397804724e-16,3.1537509186354224e-16,8.275403827475705e-13,3.8644764561988645e-07,4.958131731203683e-25,1.1272789206769815e-06,1.3216898840556857e-07,1.6853798763312787e-09,3.8586249529947085e-12,-9.141303809402933e-19,5.740539762925757e-07,3.0609060586595683e-12,-3.587638837109615e-18,1.6576039149784064e-08,2.480403659641889e-11,7.15047388561537e-08,2.495007244767217e-17,0.00830885073536841,9.676430930666421e-05,1.4328339275007593e-08,1.0971169715838684e-06,8.595019299199339e-10,3.0289850236221578e-09
0.0032500000000000003,0.08927672571920313,37.03318043833023,317.96843565522755,1.1171993244093645,0.014800129675196795,6.153767816926516e-13,3.67077011785877e-14,4.685261167646524e-06,1.5426313914476952e-13,0.006455368867264806,1.95939170677272e-09,5.804929799905231e-09,-3.426124354663113e-19,3.769368787247193e-24,1.8320746971643987e-14,2.3107187446731172e-22,3.828188685423634e-09,0.0006220746033195716,0.001836069942970153,0.0009807932075760637,2.254521619655156e-11,7.011239036385629e-07,2.2437447189618403e-14,1.8534717221716767e-10,1.1848943730347001e-07,1.1358840326228972e-23,0.0007110800594021508,6.1623231913793124e-12,0.0007724386636665247,8.69907944650954e-07,0.9541422856422482,1.9950612339608655e-13,1.5734550915780825e-06,2.3807914681390734e-08,5.000528275586542e-17,1.2779677400020587e-15,1.5780333192882433e-12,9.089747732106939e-07,4.207870524656628e-24,2.655902737883257e-06,3.46641581457448e-07,4.714083430794518e-09,9.069852720126249e-12,-1.238123303967342e-19,1.656974562871051e-06,8.762945970165534e-12,-7.7855970463284955e-19,4.623744304761555e-08,6.918896256088547e-11,1.9945697833807278e-07,2.030205182984133e-17,0.019427906097726683,0.00023430002372191254,4.7558118365915625e-08,3.6906404901163777e-06,2.7011208329026327e-09,9.47334586650172e-09
0.0033750000000000004,0.0835539475498896,39.01200589379814,330.6549400658349,1.0694078676548013,0.017427228560718183,1.1407767697082278e-12,9.258184407753858e-14,7.257311201804419e-06,4.5248647069472894e-13,0.009902339832693051,4.175554912321641e-09,9.031086889802074e-09,-4.668380537342715e-20,1.4925567330038148e-23,4.9679064331161916e-14,1.3354438443406836e-21,6.911749503621382e-09,0.000942390172897637,0.0028442701222776627,0.0016893401554868926,4.432658675924024e-11,1.2252837445092386e-06,6.029138489130535e-14,3.3553003946576385e-10,2.0851237141876055e-07,9.94808829972577e-23,0.0011916610741733017,1.6593845555440328e-11,0.0013197702641392888,1.5260513974243786e-06,0.9342168951446875,5.213788988400157e-13,2.9081792369503574e-06,4.400347835545389e-08,1.944745882043975e-17,3.662641198416095e-15,2.1762788550578765e-12,1.407437866832029e-06,1.89657005705349e-23,4.126499556729007e-06,5.736422794988994e-07,8.137958811696216e-09,1.4040943451870531e-11,-2.2079741057839e-20,2.915568997533809e-06,1.5260360258139807e-11,-2.1659582158047108e-19,7.967989852717072e-08,1.1923229978970106e-10,3.43721155543181e-07,3.0439758609060713e-17,0.030066312677413047,0.0003698320511375285,9.14125955972038e-08,7.201211337316301e-06,5.044121511845777e-09,1.7579304723673487e-08
0.0035,0.07890931260720863,41.405057995355875,351.35238614351937,1.0006343082248452,0.020283710746043612,2.4198015354225916e-12,2.2041364583270512e-13,1.1065389689396473e-05,1.2604141670255821e-12,0.0149026455764446,9.1671392063108e-09,1.3830252786789044e-08,-4.925587134739473e-21,6.737200140923026e-23,1.314457458817222e-13,8.329420876560503e-21,1.2822420855037424e-08,0.0014039539999263879,0.004338237175857644,0.0028700470909624035,8.928892260704655e-11,2.109613409839714e-06,1.5842127094828364e-13,5.95107733323424e-10,3.6164676744039756e-07,1.1866668014441566e-21,0.001968120146395335,4.779258107275526e-11,0.002222406324004408,2.6446752053705676e-06,0.9055334005890484,1.3659020227639095e-12,5.311274642045612e-06,8.036427846554862e-08,8.725266412769298e-18,1.2506598579435002e-14,2.960382312279883e-12,2.1393221502132474e-06,1.189179816849434e-22,6.3139148666852464e-06,9.336667047698681e-07,1.385686743628349e-08,2.136172363303346e-11,-1.8489758869366793e-21,5.055387819177057e-06,2.6060243507826903e-11,6.68480653405757e-20,1.3542619576791377e-07,2.0265229973345705e-10,5.842029504476797e-07,6.291396157143796e-17,0.04585193522673205,0.0005746007437784179,1.7346208955807777e-07,1.3941804123223335e-05,9.323406150733841e-09,3.2239034843133776e-08
0.0036249999999999998,0.07512922320223597,44.33832019118054,381.774416434855,0.9145787315373675,0.023269903235552787,5.9204637155530935e-12,4.979861021533243e-13,1.6261459024722792e-05,3.221795693080227e-12,0.021544066175767252,2.0373907749088332e-08,2.0402093891980042e-08,-4.309147777280106e-22,3.514005381382231e-22,3.3647185134964376e-13,5.606988750775456e-20,2.4059778992532476e-08,0.0020179926739327335,0.00637916195111042,0.0046531072196591364,1.822440112936704e-10,3.453340194240073e-06,3.9361386770256997e-13,9.957633966304609e-10,5.9614688023795e-07,1.7361614620060383e-20,0.003109332524191484,1.460485891755541e-10,0.003571330571358205,4.375734493867698e-06,0.8670234869533663,3.5803219466748375e-12,9.187695739679014e-06,1.3901725372562837e-07,1.2350543239573476e-17,4.822119920005454e-14,3.941159905029042e-12,3.1231150390995554e-06,9.848166611576997e-22,9.314742835881512e-06,1.450503999597476e-06,2.2509195072613166e-08,3.123639862709335e-11,7.70148328450131e-21,8.329490221578494e-06,4.186043751872524e-11,4.967483270254866e-19,2.196134171712672e-07,3.286357115105549e-10,9.473853959081544e-07,1.6354481587406667e-16,0.06748961273416357,0.000858639796234437,3.0813851545744683e-07,2.5498375593590296e-05,1.6339566704602977e-08,5.597778794229444e-08
0.00375,0.07157891156686949,47.86180515967961,422.2052495555674,0.8205439101818535,0.026285814015180126,1.6244793744747474e-11,1.0508021873155005e-12,2.2816954990780337e-05,7.43978955648563e-12,0.029644657565193185,4.445997672630155e-08,2.8706968935482103e-08,-3.912370424144594e-23,1.9999531138316512e-21,8.07714661967799e-13,4.1237911752710076e-19,4.4656053782679526e-08,0.0027746891977602365,0.008956920376773932,0.007097377525392656,3.7496740640834687e-10,5.292879904327358e-06,9.014892850443137e-13,1.5521482089084183e-09,9.195476617159411e-07,2.5873095337805227e-19,0.004638230651727438,4.5221879552483423e-10,0.005401136182513907,6.819044955064483e-06,0.8188833227653314,9.027896761893154e-12,1.4790627601052024e-05,2.2379245075921338e-07,4.4205262208451083e-17,1.854836404476018e-13,5.141443327282996e-12,4.3373718906833045e-06,9.414451406059641e-21,1.3125297635085642e-05,2.1201812477459496e-06,3.438423074441731e-08,4.346368681990887e-11,6.897018543388937e-20,1.2841322948872435e-05,6.165033182389291e-11,1.9525090824959443e-18,3.3497353235884026e-07,5.012794671113581e-10,1.4450778881835442e-06,5.1070547985904485e-16,0.09496746519739893,0.0012213734473788247,4.986038395116807e-07,4.317515437871492e-05,2.6623501205855662e-08,9.038716469028834e-08
