z (m),u (m/s),V (1/s),T (K),rho (kg/m3),H2,H,O,O2,OH,H2O,HO2,H2O2,C,CH,CH2,CH2(S),CH3,CH4,CO,CO2,HCO,CH2O,CH2OH,CH3O,CH3OH,C2H,C2H2,C2H3,C2H4,C2H5,C2H6,HCCO,CH2CO,HCCOH,N,NH,NH2,NH3,NNH,NO,NO2,N2O,HNO,CN,HCN,H2CN,HCNN,HCNO,HOCN,HNCO,NCO,N2,AR,C3H7,C3H8,CH2CHO,CH3CHO
0.0,0.04631668528816678,0.0,373.0,0.8636196599811288,0.01664949518175425,4.995003235132557e-11,1.6153556984654642e-11,0.1452495197046954,1.5794525835427088e-09,0.05013872797133771,8.771025884797286e-06,2.200705214517033e-05,-1.820647248073271e-16,-2.9260650238914796e-16,3.228152134496606e-15,-2.1106226915135819e-16,2.7872261863460007e-08,0.0836034518693951,0.013614178504074741,0.007769873715100608,2.8949844917930177e-12,0.00025869136777455183,5.862345167793387e-14,2.7549384909794165e-08,4.202574932259651e-05,-2.807620239042537e-16,0.0001310248670176993,3.274763016530734e-14,0.0003541942835559172,1.6946556506002354e-10,0.0002073750006704191,3.499265019126224e-13,4.4354304174740485e-05,3.05062800266186e-08,-6.504333948369567e-16,9.491270798415888e-15,9.286696093570702e-11,4.7522885296163933e-07,-2.8728362678705053e-16,3.198919827785857e-08,3.8104826268992446e-07,3.599277731442637e-09,3.016958050235408e-12,-2.591381066571049e-16,6.439152549723666e-07,1.0125078626682611e-11,-2.8750197882493624e-16,7.121795802554587e-09,7.981543987485275e-11,8.29576901433348e-08,6.882156718281742e-13,0.6819008789003944,-3.181788914595191e-18,2.906090121432183e-11,2.5703285488472057e-06,1.8523184986653054e-11,1.146333428697484e-06
7.812500000000002e-05,0.052860640663865976,0.0,424.9469643626843,0.7567066817485486,0.017725394158795968,5.222475376173824e-11,1.751909827931285e-11,0.14065713166036273,1.710777079979145e-09,0.05503248770269553,9.67077412917012e-06,2.4278349101326586e-05,1.6026017540776908e-20,1.8383444907691157e-21,3.970261354180378e-15,8.60950720812838e-17,3.0942067389061197e-08,0.08094810483260263,0.015073398556348453,0.008756947583069103,3.283193035031234e-12,0.00029360794284347575,6.69043016992649e-14,3.128620168966857e-08,4.775123985292159e-05,3.2077062736955115e-20,0.00014816897119833343,3.731219775550424e-14,0.0004011743398642669,1.9345331209026266e-10,0.00023681327913789463,3.791032485396343e-13,5.1034453423935815e-05,3.5100557837244395e-08,-1.0551324482561782e-16,1.058550715399045e-14,1.004388568248933e-10,5.241173814366344e-07,2.177007237383349e-19,3.539967308647967e-08,4.2458704067913686e-07,4.059415419212967e-09,3.3319943104480374e-12,1.7157899216972682e-20,7.326375211366324e-07,1.1528521353525415e-11,1.3327159826596466e-20,8.029639317245325e-09,8.999117673056802e-11,9.353332176925393e-08,7.763351764173569e-13,0.6805877819601139,3.14390329488169e-16,3.4052974444938234e-11,3.0125058269446443e-06,2.1319646202212404e-11,1.3197586182212233e-06
0.00015625000000000003,0.05932792990497054,0.0,476.12186959963066,0.6742187036181049,0.018760306198883976,1.6568601241456371e-10,3.2853820265653025e-11,0.13603974678590863,2.395057786576092e-09,0.05989170797929142,1.1249173293198915e-05,2.621857143767443e-05,4.0135624182566966e-21,1.3774892372941362e-21,9.89605436025529e-15,2.29509452038541e-16,5.765252869412701e-08,0.07828860703104006,0.01655220462358294,0.009762385026044611,5.662316726055574e-12,0.00032916430156470567,1.1262721053914403e-13,4.265508635322767e-08,5.358460982900784e-05,3.717088903222988e-19,0.0001658075214858635,1.1139396223880173e-13,0.00044938656910223693,3.0341960093145536e-10,0.0002672850495940977,7.258629187076573e-13,5.791655708113061e-05,3.983315850857554e-08,-1.7650690328097573e-17,2.4599882467267605e-14,1.0858573625847638e-10,5.730755497740963e-07,1.6914298134596315e-18,4.423683263332517e-08,4.6237148655760065e-07,4.528717745281658e-09,3.701144995772902e-12,1.8819723196586365e-20,8.232735526314007e-07,1.282752019943812e-11,1.0335752533359114e-20,8.955485192210762e-09,1.0036850606398713e-10,1.0431871465124919e-07,8.916057121231128e-13,0.679337287543232,2.590598338904445e-16,7.283045923279327e-11,3.4797996524823363e-06,6.378693070240783e-11,1.4984912068703876e-06
0.00023437500000000005,0.06574561207650476,0.0,526.7504501734688,0.6084056217211744,0.019762109022622126,5.763049240128768e-10,7.337681441916508e-11,0.1313808322423059,3.992283384167828e-09,0.06474442514811743,1.3373027361343157e-05,2.7900038020474722e-05,2.055821393520634e-20,7.311870351312483e-21,3.089764883147084e-14,7.980450804770598e-16,1.1864519934277195e-07,0.07560201368166991,0.018056320288845053,0.010791031649492192,1.1842584934570452e-11,0.0003654860160221821,2.3642799294521954e-13,6.414437179286808e-08,5.954225549111508e-05,3.83439716823893e-18,0.00018400532889003746,3.691619762580796e-13,0.0004990259579139145,6.065418170689533e-10,0.0002989119992452914,1.6006210130379355e-12,6.502953724874338e-05,4.47235153538317e-08,1.7414938369663164e-17,5.6432925312679424e-14,1.1840125454085275e-10,6.22332733948249e-07,1.1906367390874344e-17,5.8625874773955555e-08,4.94529839103609e-07,5.009446938530382e-09,4.192361763731344e-12,1.3181985299248822e-19,9.161912212629921e-07,1.389801626707022e-11,5.052455393670501e-20,9.903805994809554e-09,1.1099774897091155e-10,1.1536579283984544e-07,1.049281729102073e-12,0.6781418807960501,1.7460986126681035e-16,1.7097619215486733e-10,3.974367354753321e-06,2.136849584034567e-10,1.68327570406432e-06
0.00031250000000000006,0.07213209123953221,0.0,576.9868371111281,0.5545381994386795,0.020736595602151974,1.9516905234948573e-09,1.7511993131737336e-10,0.12666812746765202,6.970971717936388e-09,0.06960930148658234,1.597960659404326e-05,2.934791811548511e-05,-6.603204287691428e-20,-2.1189391441216604e-20,1.0177419387337506e-13,2.8515770140519953e-15,2.3991786313357595e-07,0.07287430374683493,0.01958970875943557,0.011846329441366658,2.6537101129438062e-11,0.00040263109659299513,5.526840430938156e-13,9.664584187267381e-08,6.562056481899656e-05,3.060673392697363e-17,0.00020280930435338833,1.2179349491969866e-12,0.0005502312757685238,1.3477551184939294e-09,0.0003317856171770533,3.6334727756078924e-12,7.239702469285706e-05,4.9786804195726575e-08,-6.597925687898113e-17,1.2387148619215372e-13,1.3145069207965468e-10,6.72040207230476e-07,7.101078242177456e-17,7.942914910828248e-08,5.20267992480913e-07,5.50321648827463e-09,4.925867880707783e-12,3.478721054195247e-19,1.0116544345720281e-06,1.4486419350184057e-11,-1.6733674171711278e-19,1.0877808386370345e-08,1.219145462215835e-10,1.2671152056981104e-07,1.2789637614732142e-12,0.6769956336501488,-5.944747214705399e-17,3.811161326737774e-10,4.498053330621634e-06,7.014105094473719e-10,1.874715255658045e-06
0.0003906250000000001,0.07850056258141151,0.0,626.9419591589217,0.5095504884810982,0.02168817607243986,6.315460232242901e-09,4.4505534889465864e-10,0.12189229473339916,1.237264178152558e-08,0.07449934851006304,1.9018913446448973e-05,3.0563706558012475e-05,4.771974316974524e-21,3.2936527247222136e-20,3.4442708694653136e-13,1.0045817697364234e-14,4.7041654969766586e-07,0.07009647839394724,0.021155253969467984,0.01293085496125346,6.206695360314231e-11,0.00044059102502581676,1.4140625099593214e-12,1.404024682709692e-07,7.178664006181213e-05,1.997724543194984e-16,0.00022225584698323,3.918332032948511e-12,0.000603106399966603,3.1472271919297857e-09,0.0003659794574553934,8.390136708140741e-12,8.004163915715343e-05,5.5036422691486794e-08,1.7701619235736373e-17,2.6778051530461104e-13,1.4993813299387109e-10,7.223025255269328e-07,3.658465148840465e-16,1.080333672273782e-07,5.38147389320942e-07,6.011242452715343e-09,6.1042303447105786e-12,2.771438199354797e-18,1.109863077562761e-06,1.4289334640312875e-11,1.2882211377717446e-20,1.1879971492640928e-08,1.3314677521526345e-10,1.3838362366381574e-07,1.6357809315091366e-12,0.6758937977505679,8.144595160134753e-17,7.759837779557282e-10,5.052532253159814e-06,2.192017594247383e-09,2.073341403406608e-06
0.0004687500000000001,0.08486084072176601,0.0,676.6986544904022,0.47135993098218265,0.022620303424550143,1.9247876232688333e-08,1.1969277188428224e-09,0.11704614823368362,2.2166408726805656e-08,0.07942392655928068,2.2415301950637807e-05,3.153217779618762e-05,-6.416663645030648e-21,3.3302764196593276e-19,1.1861906769185515e-12,3.4653239409816976e-14,8.978810641425039e-07,0.06726255196922627,0.02275512825264146,0.014046616632099714,1.5003155306036114e-10,0.0004792701669327339,3.902573835686682e-12,1.930815124579958e-07,7.79634162145141e-05,1.101409399194406e-15,0.00024237525226192722,1.2174992510365558e-11,0.0006577310436190781,7.442375878143411e-09,0.0004015555437540786,1.999722414648635e-11,8.799037545483992e-05,6.048700563141672e-08,8.68719731204209e-17,5.74232756502198e-13,1.7688240546540332e-10,7.731942352839832e-07,1.6441192623685678e-15,1.4621960534381916e-07,5.462516577475381e-07,6.534481626167315e-09,8.046364528768646e-12,1.262830689035669e-17,1.2109752848946714e-06,1.3228921716382485e-11,1.3165351658100006e-20,1.2912445879091786e-08,1.4471722392574076e-10,1.5040370126631968e-07,2.2133662408370386e-12,0.6748325162828485,2.0246555110967042e-16,1.396829108804658e-09,5.639404324746424e-06,6.366769543914645e-09,2.2796721867763015e-06
0.000546875,0.09122037180734686,0.0,726.3200734539818,0.4384985420888041,0.023535745766500468,5.3731154860353866e-08,3.273615127742899e-09,0.11212424172277331,3.97878927377671e-08,0.08438985401957626,2.60272221221211e-05,3.2221599765171354e-05,3.348941636634031e-21,3.313203662979085e-18,4.049596500793294e-12,1.155298936197865e-13,1.6731943783642577e-06,0.06436847567788201,0.02439099245124414,0.015195226795396994,3.67061623993734e-10,0.0005184317378608113,1.1112857626770265e-11,2.4895102318570665e-07,8.401403278964391e-05,5.288883160464698e-15,0.0002631952471624121,3.582070925626019e-11,0.0007141653393194909,1.7171660095507892e-08,0.0004385667948386153,4.966273712551929e-11,9.628330859737957e-05,6.616014097032605e-08,3.061776500003769e-16,1.2136658610049866e-12,2.1630496441013751e-10,8.24769303298972e-07,6.378469597303307e-15,1.95921963067296e-07,5.42470538006039e-07,7.07371624108745e-09,1.121862647440657e-11,5.146376281861478e-17,1.3151207854656892e-06,1.1674397454708182e-11,2.352613676157558e-19,1.397755261413298e-08,1.5665030057011244e-10,1.627889228389397e-07,3.1746227311360492e-12,0.6738086197268255,3.3106686108883187e-16,2.128155227057309e-09,6.2602716279712754e-06,1.6633789156428884e-08,2.494263054392735e-06
0.0006250000000000001,0.09758479730936705,0.0,775.8544032346189,0.40989991447159835,0.02443676422523912,1.3396457575473954e-07,8.594932945080153e-09,0.10712269568170932,7.06085499318347e-08,0.08940199760340063,2.9618427303822503e-05,3.258074977305103e-05,-2.3486352774817965e-19,2.778456994738852e-17,1.318784865013981e-11,3.650160311758151e-13,3.0404496061214174e-06,0.061411578410222184,0.026064088879878804,0.01637800053299362,8.8065844131896e-10,0.0005575993998443106,3.0801769350613963e-11,3.013531245137106e-07,8.973453200085714e-05,2.2405352170620368e-14,0.0002847451243086413,9.766849316270334e-11,0.0007724496623073444,3.752702735526165e-08,0.00047705450939402016,1.2652312849659666e-10,0.00010498630616706707,7.2095699022107e-08,9.924293572703742e-16,2.4913992296844814e-12,2.733601696739504e-10,8.770666254780236e-07,2.1091349995434977e-14,2.587498030461413e-07,5.250454194014372e-07,7.629605390879193e-09,1.623247184697567e-11,1.874059658775135e-16,1.4224098643865843e-06,1.0148703936743886e-11,9.211989669335147e-19,1.507862955458696e-08,1.6898253208819907e-10,1.7555283302464385e-07,4.792620118247442e-12,0.6728194830908139,4.70635090178781e-16,2.6494807286819237e-09,6.9167966741851944e-06,3.793749037145529e-08,2.7177294445826603e-06
0.0006640625000000002,0.10077036871288925,0.0,800.6019652656205,0.3969420831666601,0.024882496648312432,2.0454175511446111e-07,1.37733889451921e-08,0.10459104975864927,9.389021963061774e-08,0.0919265401316709,3.128975846153822e-05,3.2606836368760035e-05,-7.534121079458409e-19,7.71306137693129e-17,2.3559038511104953e-11,6.42261134252728e-13,4.085810677233499e-06,0.05990892328961823,0.02691499341554585,0.016982705612395045,1.3526924769698299e-09,0.000576860910550395,5.058804076602288e-11,3.260609020923777e-07,9.2368659562686e-05,4.440720166157536e-14,0.0002958097997625295,1.5778211420833515e-10,0.000802296660583556,5.475589499782193e-08,0.0004968635643065066,2.0428654936936788e-10,0.00010953263854701386,7.519226861990034e-08,1.919787971890822e-15,3.555806643110444e-12,3.109554315195668e-10,9.034967780409738e-07,3.654948228948406e-14,2.953755608357522e-07,5.108981778079131e-07,7.914061880204468e-09,1.970958961714085e-11,3.463929616116506e-16,1.4772787610860786e-06,9.509129811684546e-12,1.9262627862829305e-18,1.5644946394253158e-08,1.7532663349020284e-10,1.8208180538742677e-07,6.016547449128475e-12,0.6723372639462921,7.702440180381943e-16,2.7607518428016396e-09,7.259240672277224e-06,5.4279609305188715e-08,2.8330584341787835e-06
